"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"22.10.2015 09:15 - 22.10.2015 09:30","11429","11507"
"22.10.2015 09:30 - 22.10.2015 09:45","11507","11607"
"22.10.2015 09:45 - 22.10.2015 10:00","11500","11599"
"22.10.2015 10:00 - 22.10.2015 10:15","11436","11583"
"22.10.2015 10:15 - 22.10.2015 10:30","11414","11683"
"22.10.2015 10:30 - 22.10.2015 10:45","11436","11711"
"22.10.2015 10:45 - 22.10.2015 11:00","11458","11732"
"22.10.2015 11:00 - 22.10.2015 11:15","11462","11790"
"22.10.2015 11:15 - 22.10.2015 11:30","11512","11779"
"22.10.2015 11:30 - 22.10.2015 11:45","11584","11826"
"22.10.2015 11:45 - 22.10.2015 12:00","11542","11911"
"22.10.2015 12:00 - 22.10.2015 12:15","11326","11694"
"22.10.2015 12:15 - 22.10.2015 12:30","11217","11584"
"22.10.2015 12:30 - 22.10.2015 12:45","11186","11461"
"22.10.2015 12:45 - 22.10.2015 13:00","11187","11556"
"22.10.2015 13:00 - 22.10.2015 13:15","11210","11519"
"22.10.2015 13:15 - 22.10.2015 13:30","11205","11537"
"22.10.2015 13:30 - 22.10.2015 13:45","11169","11574"
"22.10.2015 13:45 - 22.10.2015 14:00","11130","11452"
"22.10.2015 14:00 - 22.10.2015 14:15","11165","11305"
"22.10.2015 14:15 - 22.10.2015 14:30","11129","11295"
"22.10.2015 14:30 - 22.10.2015 14:45","11086","11268"
"22.10.2015 14:45 - 22.10.2015 15:00","11033","11322"
"22.10.2015 15:00 - 22.10.2015 15:15","11074","11338"
"22.10.2015 15:15 - 22.10.2015 15:30","11062","11313"
"22.10.2015 15:30 - 22.10.2015 15:45","11023","11248"
"22.10.2015 15:45 - 22.10.2015 16:00","10953","11161"
"22.10.2015 16:00 - 22.10.2015 16:15","10884","11171"
"22.10.2015 16:15 - 22.10.2015 16:30","10907","11150"
"22.10.2015 16:30 - 22.10.2015 16:45","10898","11226"
"22.10.2015 16:45 - 22.10.2015 17:00","10944","11213"
"22.10.2015 17:00 - 22.10.2015 17:15","10932","11280"
"22.10.2015 17:15 - 22.10.2015 17:30","11004","11364"
"22.10.2015 17:30 - 22.10.2015 17:45","11118","11367"
"22.10.2015 17:45 - 22.10.2015 18:00","11191","11499"
"22.10.2015 18:00 - 22.10.2015 18:15","11105","11450"
"22.10.2015 18:15 - 22.10.2015 18:30","11108","11634"
"22.10.2015 18:30 - 22.10.2015 18:45","11139","11736"
"22.10.2015 18:45 - 22.10.2015 19:00","11219","11795"
"22.10.2015 19:00 - 22.10.2015 19:15","11215","11892"
"22.10.2015 19:15 - 22.10.2015 19:30","11230","11746"
"22.10.2015 19:30 - 22.10.2015 19:45","11173","11636"
"22.10.2015 19:45 - 22.10.2015 20:00","11055","11634"
"22.10.2015 20:00 - 22.10.2015 20:15","11070","11438"
"22.10.2015 20:15 - 22.10.2015 20:30","10904","11306"
"22.10.2015 20:30 - 22.10.2015 20:45","10712","11073"
"22.10.2015 20:45 - 22.10.2015 21:00","10586","10834"
"22.10.2015 21:00 - 22.10.2015 21:15","10442","10736"
"22.10.2015 21:15 - 22.10.2015 21:30","10322","10598"
"22.10.2015 21:30 - 22.10.2015 21:45","10226","10450"
"22.10.2015 21:45 - 22.10.2015 22:00","10091","10328"
"22.10.2015 22:00 - 22.10.2015 22:15","10163","10420"
"22.10.2015 22:15 - 22.10.2015 22:30","10292","10545"
"22.10.2015 22:30 - 22.10.2015 22:45","10320","10514"
"22.10.2015 22:45 - 22.10.2015 23:00","10230","10486"
"22.10.2015 23:00 - 22.10.2015 23:15","10236","10472"
"22.10.2015 23:15 - 22.10.2015 23:30","10102","10276"
"22.10.2015 23:30 - 22.10.2015 23:45","9878","10242"
"22.10.2015 23:45 - 23.10.2015 00:00","9720","10049"
"23.10.2015 00:00 - 23.10.2015 00:15","9589","9904"
"23.10.2015 00:15 - 23.10.2015 00:30","9368","9691"
"23.10.2015 00:30 - 23.10.2015 00:45","9243","9404"
"23.10.2015 00:45 - 23.10.2015 01:00","9094","9330"
"23.10.2015 01:00 - 23.10.2015 01:15","8975","9154"
"23.10.2015 01:15 - 23.10.2015 01:30","8779","9063"
"23.10.2015 01:30 - 23.10.2015 01:45","8687","8837"
"23.10.2015 01:45 - 23.10.2015 02:00","8562","8646"
"23.10.2015 02:00 - 23.10.2015 02:15","8524","8577"
"23.10.2015 02:15 - 23.10.2015 02:30","8447","8505"
"23.10.2015 02:30 - 23.10.2015 02:45","8425","8527"
"23.10.2015 02:45 - 23.10.2015 03:00","8406","8404"
"23.10.2015 03:00 - 23.10.2015 03:15","8476","8404"
"23.10.2015 03:15 - 23.10.2015 03:30","8475","8409"
"23.10.2015 03:30 - 23.10.2015 03:45","8462","8442"
"23.10.2015 03:45 - 23.10.2015 04:00","8450","8455"
"23.10.2015 04:00 - 23.10.2015 04:15","8467","8438"
"23.10.2015 04:15 - 23.10.2015 04:30","8486","8529"
"23.10.2015 04:30 - 23.10.2015 04:45","8513","8446"
"23.10.2015 04:45 - 23.10.2015 05:00","8613","8640"
"23.10.2015 05:00 - 23.10.2015 05:15","8710","8770"
"23.10.2015 05:15 - 23.10.2015 05:30","8877","8920"
"23.10.2015 05:30 - 23.10.2015 05:45","9003","9113"
"23.10.2015 05:45 - 23.10.2015 06:00","9206","9350"
"23.10.2015 06:00 - 23.10.2015 06:15","9587","9705"
"23.10.2015 06:15 - 23.10.2015 06:30","9895","10040"
"23.10.2015 06:30 - 23.10.2015 06:45","10207","10413"
"23.10.2015 06:45 - 23.10.2015 07:00","10518","10741"
"23.10.2015 07:00 - 23.10.2015 07:15","10750","10987"
"23.10.2015 07:15 - 23.10.2015 07:30","10977","11137"
"23.10.2015 07:30 - 23.10.2015 07:45","11191","11368"
"23.10.2015 07:45 - 23.10.2015 08:00","11276","11555"
"23.10.2015 08:00 - 23.10.2015 08:15","11173","11479"
"23.10.2015 08:15 - 23.10.2015 08:30","11139","11438"
"23.10.2015 08:30 - 23.10.2015 08:45","11190","11462"
"23.10.2015 08:45 - 23.10.2015 09:00","11236","11539"
"23.10.2015 09:00 - 23.10.2015 09:15","11273","11517"
"23.10.2015 09:15 - 23.10.2015 09:30","11356","11529"
"23.10.2015 09:30 - 23.10.2015 09:45","11433","11620"
"23.10.2015 09:45 - 23.10.2015 10:00","11432","11638"
"23.10.2015 10:00 - 23.10.2015 10:15","11407","11611"
"23.10.2015 10:15 - 23.10.2015 10:30","11380","11601"
"23.10.2015 10:30 - 23.10.2015 10:45","11407","11577"
"23.10.2015 10:45 - 23.10.2015 11:00","11440","11724"
"23.10.2015 11:00 - 23.10.2015 11:15","11358","11723"
"23.10.2015 11:15 - 23.10.2015 11:30","11410","11805"
"23.10.2015 11:30 - 23.10.2015 11:45","11466","11722"
"23.10.2015 11:45 - 23.10.2015 12:00","11416","11687"
"23.10.2015 12:00 - 23.10.2015 12:15","11251","11577"
"23.10.2015 12:15 - 23.10.2015 12:30","11154","11553"
"23.10.2015 12:30 - 23.10.2015 12:45","11136","11482"
"23.10.2015 12:45 - 23.10.2015 13:00","11130","11333"
"23.10.2015 13:00 - 23.10.2015 13:15","11104","11293"
"23.10.2015 13:15 - 23.10.2015 13:30","11085","11359"
"23.10.2015 13:30 - 23.10.2015 13:45","11048","11367"
"23.10.2015 13:45 - 23.10.2015 14:00","11007","11318"
"23.10.2015 14:00 - 23.10.2015 14:15","10872","11289"
"23.10.2015 14:15 - 23.10.2015 14:30","10848","11223"
"23.10.2015 14:30 - 23.10.2015 14:45","10795","11157"
"23.10.2015 14:45 - 23.10.2015 15:00","10740","11035"
"23.10.2015 15:00 - 23.10.2015 15:15","10704","11029"
"23.10.2015 15:15 - 23.10.2015 15:30","10691","10995"
"23.10.2015 15:30 - 23.10.2015 15:45","10632","10936"
"23.10.2015 15:45 - 23.10.2015 16:00","10559","10957"
"23.10.2015 16:00 - 23.10.2015 16:15","10559","10865"
"23.10.2015 16:15 - 23.10.2015 16:30","10560","10785"
"23.10.2015 16:30 - 23.10.2015 16:45","10565","10826"
"23.10.2015 16:45 - 23.10.2015 17:00","10604","10960"
"23.10.2015 17:00 - 23.10.2015 17:15","10522","10896"
"23.10.2015 17:15 - 23.10.2015 17:30","10584","11023"
"23.10.2015 17:30 - 23.10.2015 17:45","10696","11134"
"23.10.2015 17:45 - 23.10.2015 18:00","10775","11204"
"23.10.2015 18:00 - 23.10.2015 18:15","10659","11229"
"23.10.2015 18:15 - 23.10.2015 18:30","10676","11298"
"23.10.2015 18:30 - 23.10.2015 18:45","10727","11316"
"23.10.2015 18:45 - 23.10.2015 19:00","10817","11424"
"23.10.2015 19:00 - 23.10.2015 19:15","10879","11359"
"23.10.2015 19:15 - 23.10.2015 19:30","10871","11285"
"23.10.2015 19:30 - 23.10.2015 19:45","10796","11203"
"23.10.2015 19:45 - 23.10.2015 20:00","10677","11054"
"23.10.2015 20:00 - 23.10.2015 20:15","10704","10978"
"23.10.2015 20:15 - 23.10.2015 20:30","10541","10767"
"23.10.2015 20:30 - 23.10.2015 20:45","10361","10695"
"23.10.2015 20:45 - 23.10.2015 21:00","10221","10561"
"23.10.2015 21:00 - 23.10.2015 21:15","10123","10399"
"23.10.2015 21:15 - 23.10.2015 21:30","10008","10311"
"23.10.2015 21:30 - 23.10.2015 21:45","9933","10103"
"23.10.2015 21:45 - 23.10.2015 22:00","9799","10069"
"23.10.2015 22:00 - 23.10.2015 22:15","9992","10177"
"23.10.2015 22:15 - 23.10.2015 22:30","10126","10423"
"23.10.2015 22:30 - 23.10.2015 22:45","10145","10478"
"23.10.2015 22:45 - 23.10.2015 23:00","10063","10418"
"23.10.2015 23:00 - 23.10.2015 23:15","10155","10583"
"23.10.2015 23:15 - 23.10.2015 23:30","10018","10402"
"23.10.2015 23:30 - 23.10.2015 23:45","9819","10275"
"23.10.2015 23:45 - 24.10.2015 00:00","9663","10050"
"24.10.2015 00:00 - 24.10.2015 00:15","9574","9788"
"24.10.2015 00:15 - 24.10.2015 00:30","9340","9502"
"24.10.2015 00:30 - 24.10.2015 00:45","9195","9490"
"24.10.2015 00:45 - 24.10.2015 01:00","9058","9313"
"24.10.2015 01:00 - 24.10.2015 01:15","8900","9101"
"24.10.2015 01:15 - 24.10.2015 01:30","8728","8934"
"24.10.2015 01:30 - 24.10.2015 01:45","8611","8774"
"24.10.2015 01:45 - 24.10.2015 02:00","8533","8672"
"24.10.2015 02:00 - 24.10.2015 02:15","8292","8447"
"24.10.2015 02:15 - 24.10.2015 02:30","8203","8401"
"24.10.2015 02:30 - 24.10.2015 02:45","8115","8315"
"24.10.2015 02:45 - 24.10.2015 03:00","8064","8243"
"24.10.2015 03:00 - 24.10.2015 03:15","8057","8243"
"24.10.2015 03:15 - 24.10.2015 03:30","8003","8216"
"24.10.2015 03:30 - 24.10.2015 03:45","7922","8227"
"24.10.2015 03:45 - 24.10.2015 04:00","7952","8109"
"24.10.2015 04:00 - 24.10.2015 04:15","7935","8227"
"24.10.2015 04:15 - 24.10.2015 04:30","7926","8173"
"24.10.2015 04:30 - 24.10.2015 04:45","7943","8133"
"24.10.2015 04:45 - 24.10.2015 05:00","7928","8074"
"24.10.2015 05:00 - 24.10.2015 05:15","7894","8101"
"24.10.2015 05:15 - 24.10.2015 05:30","7899","8187"
"24.10.2015 05:30 - 24.10.2015 05:45","7996","8150"
"24.10.2015 05:45 - 24.10.2015 06:00","8042","8264"
"24.10.2015 06:00 - 24.10.2015 06:15","8155","8466"
"24.10.2015 06:15 - 24.10.2015 06:30","8243","8428"
"24.10.2015 06:30 - 24.10.2015 06:45","8328","8648"
"24.10.2015 06:45 - 24.10.2015 07:00","8422","8690"
"24.10.2015 07:00 - 24.10.2015 07:15","8538","8779"
"24.10.2015 07:15 - 24.10.2015 07:30","8664","8811"
"24.10.2015 07:30 - 24.10.2015 07:45","8755","9012"
"24.10.2015 07:45 - 24.10.2015 08:00","8824","9215"
"24.10.2015 08:00 - 24.10.2015 08:15","8958","9334"
"24.10.2015 08:15 - 24.10.2015 08:30","9130","9432"
"24.10.2015 08:30 - 24.10.2015 08:45","9280","9484"
"24.10.2015 08:45 - 24.10.2015 09:00","9372","9693"
"24.10.2015 09:00 - 24.10.2015 09:15","9632","9786"
"24.10.2015 09:15 - 24.10.2015 09:30","9753","9945"
"24.10.2015 09:30 - 24.10.2015 09:45","9881","10107"
"24.10.2015 09:45 - 24.10.2015 10:00","9962","10118"
"24.10.2015 10:00 - 24.10.2015 10:15","10039","10172"
"24.10.2015 10:15 - 24.10.2015 10:30","10052","10256"
"24.10.2015 10:30 - 24.10.2015 10:45","10066","10324"
"24.10.2015 10:45 - 24.10.2015 11:00","10097","10220"
"24.10.2015 11:00 - 24.10.2015 11:15","10104","10351"
"24.10.2015 11:15 - 24.10.2015 11:30","10215","10334"
"24.10.2015 11:30 - 24.10.2015 11:45","10263","10383"
"24.10.2015 11:45 - 24.10.2015 12:00","10289","10369"
"24.10.2015 12:00 - 24.10.2015 12:15","10273","10439"
"24.10.2015 12:15 - 24.10.2015 12:30","10184","10345"
"24.10.2015 12:30 - 24.10.2015 12:45","10100","10280"
"24.10.2015 12:45 - 24.10.2015 13:00","10111","10192"
"24.10.2015 13:00 - 24.10.2015 13:15","10084","10050"
"24.10.2015 13:15 - 24.10.2015 13:30","9986","9994"
"24.10.2015 13:30 - 24.10.2015 13:45","9977","9878"
"24.10.2015 13:45 - 24.10.2015 14:00","9885","9824"
"24.10.2015 14:00 - 24.10.2015 14:15","9767","9737"
"24.10.2015 14:15 - 24.10.2015 14:30","9726","9728"
"24.10.2015 14:30 - 24.10.2015 14:45","9646","9521"
"24.10.2015 14:45 - 24.10.2015 15:00","9582","9578"
"24.10.2015 15:00 - 24.10.2015 15:15","9521","9484"
"24.10.2015 15:15 - 24.10.2015 15:30","9554","9601"
"24.10.2015 15:30 - 24.10.2015 15:45","9482","9584"
"24.10.2015 15:45 - 24.10.2015 16:00","9423","9516"
"24.10.2015 16:00 - 24.10.2015 16:15","9417","9431"
"24.10.2015 16:15 - 24.10.2015 16:30","9423","9404"
"24.10.2015 16:30 - 24.10.2015 16:45","9393","9430"
"24.10.2015 16:45 - 24.10.2015 17:00","9402","9466"
"24.10.2015 17:00 - 24.10.2015 17:15","9452","9610"
"24.10.2015 17:15 - 24.10.2015 17:30","9509","9694"
"24.10.2015 17:30 - 24.10.2015 17:45","9642","9777"
"24.10.2015 17:45 - 24.10.2015 18:00","9669","9931"
"24.10.2015 18:00 - 24.10.2015 18:15","9774","9958"
"24.10.2015 18:15 - 24.10.2015 18:30","9866","10154"
"24.10.2015 18:30 - 24.10.2015 18:45","9867","10385"
"24.10.2015 18:45 - 24.10.2015 19:00","9965","10627"
"24.10.2015 19:00 - 24.10.2015 19:15","10050","10572"
"24.10.2015 19:15 - 24.10.2015 19:30","10045","10542"
"24.10.2015 19:30 - 24.10.2015 19:45","10144","10412"
"24.10.2015 19:45 - 24.10.2015 20:00","10135","10241"
"24.10.2015 20:00 - 24.10.2015 20:15","9965","9963"
"24.10.2015 20:15 - 24.10.2015 20:30","9848","10027"
"24.10.2015 20:30 - 24.10.2015 20:45","9679","9869"
"24.10.2015 20:45 - 24.10.2015 21:00","9549","9827"
"24.10.2015 21:00 - 24.10.2015 21:15","9429","9561"
"24.10.2015 21:15 - 24.10.2015 21:30","9315","9460"
"24.10.2015 21:30 - 24.10.2015 21:45","9191","9435"
"24.10.2015 21:45 - 24.10.2015 22:00","9067","9359"
"24.10.2015 22:00 - 24.10.2015 22:15","9068","9376"
"24.10.2015 22:15 - 24.10.2015 22:30","9161","9480"
"24.10.2015 22:30 - 24.10.2015 22:45","9177","9468"
"24.10.2015 22:45 - 24.10.2015 23:00","9154","9504"
"24.10.2015 23:00 - 24.10.2015 23:15","9184","9582"
"24.10.2015 23:15 - 24.10.2015 23:30","9127","9515"
"24.10.2015 23:30 - 24.10.2015 23:45","8974","9385"
"24.10.2015 23:45 - 25.10.2015 00:00","8909","9229"
"25.10.2015 00:00 - 25.10.2015 00:15","8778","9009"
"25.10.2015 00:15 - 25.10.2015 00:30","8615","8803"
"25.10.2015 00:30 - 25.10.2015 00:45","8513","8709"
"25.10.2015 00:45 - 25.10.2015 01:00","8399","8538"
"25.10.2015 01:00 - 25.10.2015 01:15","8317","8335"
"25.10.2015 01:15 - 25.10.2015 01:30","8208","8220"
"25.10.2015 01:30 - 25.10.2015 01:45","8097","8062"
"25.10.2015 01:45 - 25.10.2015 02:00","7954","7911"
"25.10.2015 02:00 - 25.10.2015 02:15","7852","7909"
"25.10.2015 02:15 - 25.10.2015 02:30","7787","7793"
"25.10.2015 02:30 - 25.10.2015 02:45","7702","7883"
"25.10.2015 02:45 - 25.10.2015 03:00","7666","7823"
"25.10.2015 02:00 - 25.10.2015 02:15","7612","7662"
"25.10.2015 02:15 - 25.10.2015 02:30","7569","7578"
"25.10.2015 02:30 - 25.10.2015 02:45","7534","7450"
"25.10.2015 02:45 - 25.10.2015 03:00","7519","7504"
"25.10.2015 03:00 - 25.10.2015 03:15","7487","7471"
"25.10.2015 03:15 - 25.10.2015 03:30","7523","7536"
"25.10.2015 03:30 - 25.10.2015 03:45","7547","7537"
"25.10.2015 03:45 - 25.10.2015 04:00","7615","7585"
"25.10.2015 04:00 - 25.10.2015 04:15","7438","7623"
"25.10.2015 04:15 - 25.10.2015 04:30","7536","7498"
"25.10.2015 04:30 - 25.10.2015 04:45","7553","7479"
"25.10.2015 04:45 - 25.10.2015 05:00","7615","7493"
"25.10.2015 05:00 - 25.10.2015 05:15","7504","7613"
"25.10.2015 05:15 - 25.10.2015 05:30","7623","7528"
"25.10.2015 05:30 - 25.10.2015 05:45","7619","7675"
"25.10.2015 05:45 - 25.10.2015 06:00","7660","7665"
"25.10.2015 06:00 - 25.10.2015 06:15","7591","7829"
"25.10.2015 06:15 - 25.10.2015 06:30","7692","7876"
"25.10.2015 06:30 - 25.10.2015 06:45","7885","7962"
"25.10.2015 06:45 - 25.10.2015 07:00","8012","8062"
"25.10.2015 07:00 - 25.10.2015 07:15","7814","8103"
"25.10.2015 07:15 - 25.10.2015 07:30","7948","8087"
"25.10.2015 07:30 - 25.10.2015 07:45","8081","8226"
"25.10.2015 07:45 - 25.10.2015 08:00","8128","8203"
"25.10.2015 08:00 - 25.10.2015 08:15","8251","8407"
"25.10.2015 08:15 - 25.10.2015 08:30","8336","8563"
"25.10.2015 08:30 - 25.10.2015 08:45","8367","8688"
"25.10.2015 08:45 - 25.10.2015 09:00","8409","8863"
"25.10.2015 09:00 - 25.10.2015 09:15","8796","9127"
"25.10.2015 09:15 - 25.10.2015 09:30","8895","9255"
"25.10.2015 09:30 - 25.10.2015 09:45","8918","9244"
"25.10.2015 09:45 - 25.10.2015 10:00","8964","9375"
"25.10.2015 10:00 - 25.10.2015 10:15","9293","9497"
"25.10.2015 10:15 - 25.10.2015 10:30","9291","9528"
"25.10.2015 10:30 - 25.10.2015 10:45","9237","9635"
"25.10.2015 10:45 - 25.10.2015 11:00","9161","9626"
"25.10.2015 11:00 - 25.10.2015 11:15","9658","9697"
"25.10.2015 11:15 - 25.10.2015 11:30","9533","9926"
"25.10.2015 11:30 - 25.10.2015 11:45","9481","9893"
"25.10.2015 11:45 - 25.10.2015 12:00","9334","10022"
"25.10.2015 12:00 - 25.10.2015 12:15","9601","10016"
"25.10.2015 12:15 - 25.10.2015 12:30","9542","9904"
"25.10.2015 12:30 - 25.10.2015 12:45","9463","9740"
"25.10.2015 12:45 - 25.10.2015 13:00","9435","9704"
"25.10.2015 13:00 - 25.10.2015 13:15","9239","9595"
"25.10.2015 13:15 - 25.10.2015 13:30","9212","9561"
"25.10.2015 13:30 - 25.10.2015 13:45","9097","9482"
"25.10.2015 13:45 - 25.10.2015 14:00","9032","9379"
"25.10.2015 14:00 - 25.10.2015 14:15","8762","9321"
"25.10.2015 14:15 - 25.10.2015 14:30","8867","9244"
"25.10.2015 14:30 - 25.10.2015 14:45","8847","9168"
"25.10.2015 14:45 - 25.10.2015 15:00","8836","9153"
"25.10.2015 15:00 - 25.10.2015 15:15","8440","9147"
"25.10.2015 15:15 - 25.10.2015 15:30","8606","9184"
"25.10.2015 15:30 - 25.10.2015 15:45","8694","9115"
"25.10.2015 15:45 - 25.10.2015 16:00","8832","9073"
"25.10.2015 16:00 - 25.10.2015 16:15","8387","8966"
"25.10.2015 16:15 - 25.10.2015 16:30","8481","8947"
"25.10.2015 16:30 - 25.10.2015 16:45","8604","8973"
"25.10.2015 16:45 - 25.10.2015 17:00","8701","9150"
"25.10.2015 17:00 - 25.10.2015 17:15","8703","9388"
"25.10.2015 17:15 - 25.10.2015 17:30","8826","9607"
"25.10.2015 17:30 - 25.10.2015 17:45","8936","9946"
"25.10.2015 17:45 - 25.10.2015 18:00","8975","10320"
"25.10.2015 18:00 - 25.10.2015 18:15","9480","10450"
"25.10.2015 18:15 - 25.10.2015 18:30","9471","10468"
"25.10.2015 18:30 - 25.10.2015 18:45","9367","10538"
"25.10.2015 18:45 - 25.10.2015 19:00","9212","10487"
"25.10.2015 19:00 - 25.10.2015 19:15","10084","10402"
"25.10.2015 19:15 - 25.10.2015 19:30","9952","10353"
"25.10.2015 19:30 - 25.10.2015 19:45","9852","10173"
"25.10.2015 19:45 - 25.10.2015 20:00","9703","10183"
"25.10.2015 20:00 - 25.10.2015 20:15","9715","10084"
"25.10.2015 20:15 - 25.10.2015 20:30","9795","9996"
"25.10.2015 20:30 - 25.10.2015 20:45","9794","9828"
"25.10.2015 20:45 - 25.10.2015 21:00","9726","9601"
"25.10.2015 21:00 - 25.10.2015 21:15","9527","9504"
"25.10.2015 21:15 - 25.10.2015 21:30","9384","9392"
"25.10.2015 21:30 - 25.10.2015 21:45","9198","9275"
"25.10.2015 21:45 - 25.10.2015 22:00","9086","9129"
"25.10.2015 22:00 - 25.10.2015 22:15","9433","9270"
"25.10.2015 22:15 - 25.10.2015 22:30","9264","9368"
"25.10.2015 22:30 - 25.10.2015 22:45","9056","9342"
"25.10.2015 22:45 - 25.10.2015 23:00","8922","9271"
"25.10.2015 23:00 - 25.10.2015 23:15","9126","9301"
"25.10.2015 23:15 - 25.10.2015 23:30","9038","9266"
"25.10.2015 23:30 - 25.10.2015 23:45","8906","9074"
"25.10.2015 23:45 - 26.10.2015 00:00","8822","8893"
"26.10.2015 00:00 - 26.10.2015 00:15","8477","8767"
"26.10.2015 00:15 - 26.10.2015 00:30","8395","8517"
"26.10.2015 00:30 - 26.10.2015 00:45","8272","8439"
"26.10.2015 00:45 - 26.10.2015 01:00","8195","8289"
"26.10.2015 01:00 - 26.10.2015 01:15","7963","8163"
"26.10.2015 01:15 - 26.10.2015 01:30","7938","7977"
"26.10.2015 01:30 - 26.10.2015 01:45","7916","7799"
"26.10.2015 01:45 - 26.10.2015 02:00","7821","7710"
"26.10.2015 02:00 - 26.10.2015 02:15","7629","7779"
"26.10.2015 02:15 - 26.10.2015 02:30","7590","7724"
"26.10.2015 02:30 - 26.10.2015 02:45","7580","7631"
"26.10.2015 02:45 - 26.10.2015 03:00","7605","7584"
"26.10.2015 03:00 - 26.10.2015 03:15","7421","7581"
"26.10.2015 03:15 - 26.10.2015 03:30","7475","7559"
"26.10.2015 03:30 - 26.10.2015 03:45","7547","7585"
"26.10.2015 03:45 - 26.10.2015 04:00","7571","7602"
"26.10.2015 04:00 - 26.10.2015 04:15","7358","7670"
"26.10.2015 04:15 - 26.10.2015 04:30","7623","7752"
"26.10.2015 04:30 - 26.10.2015 04:45","7757","7849"
"26.10.2015 04:45 - 26.10.2015 05:00","7993","7945"
"26.10.2015 05:00 - 26.10.2015 05:15","7763","8300"
"26.10.2015 05:15 - 26.10.2015 05:30","8070","8438"
"26.10.2015 05:30 - 26.10.2015 05:45","8423","8650"
"26.10.2015 05:45 - 26.10.2015 06:00","8662","8889"
"26.10.2015 06:00 - 26.10.2015 06:15","9181","9339"
"26.10.2015 06:15 - 26.10.2015 06:30","9430","9814"
"26.10.2015 06:30 - 26.10.2015 06:45","9603","10171"
"26.10.2015 06:45 - 26.10.2015 07:00","9670","10410"
"26.10.2015 07:00 - 26.10.2015 07:15","10563","10801"
"26.10.2015 07:15 - 26.10.2015 07:30","10574","10940"
"26.10.2015 07:30 - 26.10.2015 07:45","10620","10849"
"26.10.2015 07:45 - 26.10.2015 08:00","10712","10912"
"26.10.2015 08:00 - 26.10.2015 08:15","10784","10903"
"26.10.2015 08:15 - 26.10.2015 08:30","10866","11009"
"26.10.2015 08:30 - 26.10.2015 08:45","10900","11153"
"26.10.2015 08:45 - 26.10.2015 09:00","10958","11144"
"26.10.2015 09:00 - 26.10.2015 09:15","11083","11259"
"26.10.2015 09:15 - 26.10.2015 09:30","11117","11281"
"26.10.2015 09:30 - 26.10.2015 09:45","11136","11248"
"26.10.2015 09:45 - 26.10.2015 10:00","11198","11276"
"26.10.2015 10:00 - 26.10.2015 10:15","11239","11287"
"26.10.2015 10:15 - 26.10.2015 10:30","11222","11205"
"26.10.2015 10:30 - 26.10.2015 10:45","11254","11149"
"26.10.2015 10:45 - 26.10.2015 11:00","11280","11274"
"26.10.2015 11:00 - 26.10.2015 11:15","11453","11248"
"26.10.2015 11:15 - 26.10.2015 11:30","11337","11242"
"26.10.2015 11:30 - 26.10.2015 11:45","11308","11376"
"26.10.2015 11:45 - 26.10.2015 12:00","11317","11305"
"26.10.2015 12:00 - 26.10.2015 12:15","11161","11144"
"26.10.2015 12:15 - 26.10.2015 12:30","11113","10976"
"26.10.2015 12:30 - 26.10.2015 12:45","11111","10843"
"26.10.2015 12:45 - 26.10.2015 13:00","11087","10886"
"26.10.2015 13:00 - 26.10.2015 13:15","11050","10923"
"26.10.2015 13:15 - 26.10.2015 13:30","11006","10866"
"26.10.2015 13:30 - 26.10.2015 13:45","10957","10901"
"26.10.2015 13:45 - 26.10.2015 14:00","10934","10822"
"26.10.2015 14:00 - 26.10.2015 14:15","10876","10765"
"26.10.2015 14:15 - 26.10.2015 14:30","10829","10766"
"26.10.2015 14:30 - 26.10.2015 14:45","10811","10686"
"26.10.2015 14:45 - 26.10.2015 15:00","10798","10754"
"26.10.2015 15:00 - 26.10.2015 15:15","10796","10764"
"26.10.2015 15:15 - 26.10.2015 15:30","10732","10694"
"26.10.2015 15:30 - 26.10.2015 15:45","10748","10727"
"26.10.2015 15:45 - 26.10.2015 16:00","10698","10588"
"26.10.2015 16:00 - 26.10.2015 16:15","10534","10655"
"26.10.2015 16:15 - 26.10.2015 16:30","10598","10600"
"26.10.2015 16:30 - 26.10.2015 16:45","10644","10681"
"26.10.2015 16:45 - 26.10.2015 17:00","10799","10814"
"26.10.2015 17:00 - 26.10.2015 17:15","10741","10970"
"26.10.2015 17:15 - 26.10.2015 17:30","10808","11136"
"26.10.2015 17:30 - 26.10.2015 17:45","10853","11487"
"26.10.2015 17:45 - 26.10.2015 18:00","10967","12045"
"26.10.2015 18:00 - 26.10.2015 18:15","11087","12162"
"26.10.2015 18:15 - 26.10.2015 18:30","11125","12163"
"26.10.2015 18:30 - 26.10.2015 18:45","11073","12137"
"26.10.2015 18:45 - 26.10.2015 19:00","11020","12004"
"26.10.2015 19:00 - 26.10.2015 19:15","11522","11898"
"26.10.2015 19:15 - 26.10.2015 19:30","11302","11711"
"26.10.2015 19:30 - 26.10.2015 19:45","11110","11583"
"26.10.2015 19:45 - 26.10.2015 20:00","10932","11255"
"26.10.2015 20:00 - 26.10.2015 20:15","10975","11255"
"26.10.2015 20:15 - 26.10.2015 20:30","10855","10994"
"26.10.2015 20:30 - 26.10.2015 20:45","10701","10857"
"26.10.2015 20:45 - 26.10.2015 21:00","10536","10744"
