"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"04.01.2015 19:30 - 04.01.2015 19:45","10931","11315"
"04.01.2015 19:45 - 04.01.2015 20:00","10872","11199"
"04.01.2015 20:00 - 04.01.2015 20:15","10728","11217"
"04.01.2015 20:15 - 04.01.2015 20:30","10646","10980"
"04.01.2015 20:30 - 04.01.2015 20:45","10535","10845"
"04.01.2015 20:45 - 04.01.2015 21:00","10422","10735"
"04.01.2015 21:00 - 04.01.2015 21:15","10273","10679"
"04.01.2015 21:15 - 04.01.2015 21:30","10215","10630"
"04.01.2015 21:30 - 04.01.2015 21:45","10132","10464"
"04.01.2015 21:45 - 04.01.2015 22:00","10030","10363"
"04.01.2015 22:00 - 04.01.2015 22:15","10172","10423"
"04.01.2015 22:15 - 04.01.2015 22:30","10376","10723"
"04.01.2015 22:30 - 04.01.2015 22:45","10380","10713"
"04.01.2015 22:45 - 04.01.2015 23:00","10368","10723"
"04.01.2015 23:00 - 04.01.2015 23:15","10388","10879"
"04.01.2015 23:15 - 04.01.2015 23:30","10295","10735"
"04.01.2015 23:30 - 04.01.2015 23:45","10157","10601"
"04.01.2015 23:45 - 05.01.2015 00:00","9957","10459"
"05.01.2015 00:00 - 05.01.2015 00:15","9747","10248"
"05.01.2015 00:15 - 05.01.2015 00:30","9601","10048"
"05.01.2015 00:30 - 05.01.2015 00:45","9488","9973"
"05.01.2015 00:45 - 05.01.2015 01:00","9405","9889"
"05.01.2015 01:00 - 05.01.2015 01:15","9560","9844"
"05.01.2015 01:15 - 05.01.2015 01:30","9415","9737"
"05.01.2015 01:30 - 05.01.2015 01:45","9308","9627"
"05.01.2015 01:45 - 05.01.2015 02:00","9160","9455"
"05.01.2015 02:00 - 05.01.2015 02:15","9086","9355"
"05.01.2015 02:15 - 05.01.2015 02:30","9003","9326"
"05.01.2015 02:30 - 05.01.2015 02:45","8906","9204"
"05.01.2015 02:45 - 05.01.2015 03:00","8831","9164"
"05.01.2015 03:00 - 05.01.2015 03:15","8783","9113"
"05.01.2015 03:15 - 05.01.2015 03:30","8752","9043"
"05.01.2015 03:30 - 05.01.2015 03:45","8697","8989"
"05.01.2015 03:45 - 05.01.2015 04:00","8676","9066"
"05.01.2015 04:00 - 05.01.2015 04:15","8654","9094"
"05.01.2015 04:15 - 05.01.2015 04:30","8686","9136"
"05.01.2015 04:30 - 05.01.2015 04:45","8706","9128"
"05.01.2015 04:45 - 05.01.2015 05:00","8750","9115"
"05.01.2015 05:00 - 05.01.2015 05:15","8873","9250"
"05.01.2015 05:15 - 05.01.2015 05:30","8956","9391"
"05.01.2015 05:30 - 05.01.2015 05:45","9074","9657"
"05.01.2015 05:45 - 05.01.2015 06:00","9230","9812"
"05.01.2015 06:00 - 05.01.2015 06:15","9796","10295"
"05.01.2015 06:15 - 05.01.2015 06:30","9996","10613"
"05.01.2015 06:30 - 05.01.2015 06:45","10162","10935"
"05.01.2015 06:45 - 05.01.2015 07:00","10291","11264"
