"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"05.01.2015 00:45 - 05.01.2015 01:00","9012","11282"
"05.01.2015 01:00 - 05.01.2015 01:15","8848","11138"
"05.01.2015 01:15 - 05.01.2015 01:30","8726","10993"
"05.01.2015 01:30 - 05.01.2015 01:45","8614","10784"
"05.01.2015 01:45 - 05.01.2015 02:00","8524","10644"
"05.01.2015 02:00 - 05.01.2015 02:15","8470","10585"
"05.01.2015 02:15 - 05.01.2015 02:30","8419","10516"
"05.01.2015 02:30 - 05.01.2015 02:45","8374","10402"
"05.01.2015 02:45 - 05.01.2015 03:00","8346","10336"
"05.01.2015 03:00 - 05.01.2015 03:15","8337","10343"
"05.01.2015 03:15 - 05.01.2015 03:30","8312","10327"
"05.01.2015 03:30 - 05.01.2015 03:45","8301","10387"
"05.01.2015 03:45 - 05.01.2015 04:00","8289","10436"
"05.01.2015 04:00 - 05.01.2015 04:15","8331","10478"
"05.01.2015 04:15 - 05.01.2015 04:30","8367","10529"
"05.01.2015 04:30 - 05.01.2015 04:45","8428","10556"
"05.01.2015 04:45 - 05.01.2015 05:00","8490","10638"
"05.01.2015 05:00 - 05.01.2015 05:15","8634","10723"
"05.01.2015 05:15 - 05.01.2015 05:30","8772","10902"
"05.01.2015 05:30 - 05.01.2015 05:45","8973","11197"
"05.01.2015 05:45 - 05.01.2015 06:00","9202","11570"
"05.01.2015 06:00 - 05.01.2015 06:15","9602","12029"
"05.01.2015 06:15 - 05.01.2015 06:30","9990","12661"
"05.01.2015 06:30 - 05.01.2015 06:45","10390","13365"
"05.01.2015 06:45 - 05.01.2015 07:00","10800","13946"
"05.01.2015 07:00 - 05.01.2015 07:15","11372","14391"
"05.01.2015 07:15 - 05.01.2015 07:30","11917","14987"
"05.01.2015 07:30 - 05.01.2015 07:45","12463","15850"
"05.01.2015 07:45 - 05.01.2015 08:00","12959","16547"
"05.01.2015 08:00 - 05.01.2015 08:15","13420","17110"
"05.01.2015 08:15 - 05.01.2015 08:30","13787","17584"
"05.01.2015 08:30 - 05.01.2015 08:45","14001","17898"
"05.01.2015 08:45 - 05.01.2015 09:00","14190","17862"
"05.01.2015 09:00 - 05.01.2015 09:15","14395","17972"
"05.01.2015 09:15 - 05.01.2015 09:30","14547","18242"
"05.01.2015 09:30 - 05.01.2015 09:45","14636","18378"
"05.01.2015 09:45 - 05.01.2015 10:00","14735","18420"
"05.01.2015 10:00 - 05.01.2015 10:15","14765","18467"
"05.01.2015 10:15 - 05.01.2015 10:30","14783","18502"
"05.01.2015 10:30 - 05.01.2015 10:45","14821","18507"
"05.01.2015 10:45 - 05.01.2015 11:00","14857","18566"
"05.01.2015 11:00 - 05.01.2015 11:15","14892","18624"
