"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"29.10.2015 03:45 - 29.10.2015 04:00","10090","8074"
"29.10.2015 04:00 - 29.10.2015 04:15","10078","8103"
"29.10.2015 04:15 - 29.10.2015 04:30","10146","8146"
"29.10.2015 04:30 - 29.10.2015 04:45","10188","8196"
"29.10.2015 04:45 - 29.10.2015 05:00","10225","8237"
"29.10.2015 05:00 - 29.10.2015 05:15","10305","8360"
"29.10.2015 05:15 - 29.10.2015 05:30","10476","8511"
"29.10.2015 05:30 - 29.10.2015 05:45","10598","8720"
"29.10.2015 05:45 - 29.10.2015 06:00","10857","8962"
"29.10.2015 06:00 - 29.10.2015 06:15","11161","9400"
"29.10.2015 06:15 - 29.10.2015 06:30","11599","9840"
"29.10.2015 06:30 - 29.10.2015 06:45","12078","10318"
"29.10.2015 06:45 - 29.10.2015 07:00","12645","10827"
"29.10.2015 07:00 - 29.10.2015 07:15","13221","11518"
"29.10.2015 07:15 - 29.10.2015 07:30","13755","11919"
"29.10.2015 07:30 - 29.10.2015 07:45","14452","12336"
"29.10.2015 07:45 - 29.10.2015 08:00","14864","12719"
"29.10.2015 08:00 - 29.10.2015 08:15","15210","13053"
"29.10.2015 08:15 - 29.10.2015 08:30","15448","13271"
"29.10.2015 08:30 - 29.10.2015 08:45","15631","13467"
"29.10.2015 08:45 - 29.10.2015 09:00","15824","13662"
"29.10.2015 09:00 - 29.10.2015 09:15","15978","13788"
"29.10.2015 09:15 - 29.10.2015 09:30","16136","13863"
"29.10.2015 09:30 - 29.10.2015 09:45","16192","13836"
"29.10.2015 09:45 - 29.10.2015 10:00","16269","13834"
"29.10.2015 10:00 - 29.10.2015 10:15","16308","13801"
"29.10.2015 10:15 - 29.10.2015 10:30","16301","13756"
"29.10.2015 10:30 - 29.10.2015 10:45","16309","13718"
"29.10.2015 10:45 - 29.10.2015 11:00","16334","13664"
"29.10.2015 11:00 - 29.10.2015 11:15","16329","13606"
"29.10.2015 11:15 - 29.10.2015 11:30","16292","13564"
"29.10.2015 11:30 - 29.10.2015 11:45","16278","13536"
"29.10.2015 11:45 - 29.10.2015 12:00","16205","13490"
"29.10.2015 12:00 - 29.10.2015 12:15","16050","13391"
"29.10.2015 12:15 - 29.10.2015 12:30","16049","13306"
"29.10.2015 12:30 - 29.10.2015 12:45","16064","13178"
"29.10.2015 12:45 - 29.10.2015 13:00","16046","13142"
"29.10.2015 13:00 - 29.10.2015 13:15","16005","13230"
"29.10.2015 13:15 - 29.10.2015 13:30","15960","13308"
"29.10.2015 13:30 - 29.10.2015 13:45","15925","13321"
"29.10.2015 13:45 - 29.10.2015 14:00","16100","13327"
"29.10.2015 14:00 - 29.10.2015 14:15","16101","13317"
"29.10.2015 14:15 - 29.10.2015 14:30","16078","13319"
"29.10.2015 14:30 - 29.10.2015 14:45","16030","13321"
"29.10.2015 14:45 - 29.10.2015 15:00","15991","13342"
"29.10.2015 15:00 - 29.10.2015 15:15","15920","13309"
"29.10.2015 15:15 - 29.10.2015 15:30","15881","13370"
"29.10.2015 15:30 - 29.10.2015 15:45","15901","13468"
"29.10.2015 15:45 - 29.10.2015 16:00","15960","13534"
"29.10.2015 16:00 - 29.10.2015 16:15","15987","13586"
"29.10.2015 16:15 - 29.10.2015 16:30","15968","13638"
"29.10.2015 16:30 - 29.10.2015 16:45","15930","13744"
"29.10.2015 16:45 - 29.10.2015 17:00","16109","13974"
"29.10.2015 17:00 - 29.10.2015 17:15","16183","14142"
"29.10.2015 17:15 - 29.10.2015 17:30","16199","14538"
"29.10.2015 17:30 - 29.10.2015 17:45","16218","14963"
"29.10.2015 17:45 - 29.10.2015 18:00","16199","15131"
"29.10.2015 18:00 - 29.10.2015 18:15","15960","14946"
"29.10.2015 18:15 - 29.10.2015 18:30","15636","14755"
"29.10.2015 18:30 - 29.10.2015 18:45","15601","14637"
"29.10.2015 18:45 - 29.10.2015 19:00","15707","14563"
"29.10.2015 19:00 - 29.10.2015 19:15","15894","14430"
"29.10.2015 19:15 - 29.10.2015 19:30","16029","14292"
"29.10.2015 19:30 - 29.10.2015 19:45","16017","14168"
"29.10.2015 19:45 - 29.10.2015 20:00","15972","14047"
"29.10.2015 20:00 - 29.10.2015 20:15","15866","13772"
"29.10.2015 20:15 - 29.10.2015 20:30","15682","13519"
"29.10.2015 20:30 - 29.10.2015 20:45","15453","13259"
"29.10.2015 20:45 - 29.10.2015 21:00","15157","13044"
"29.10.2015 21:00 - 29.10.2015 21:15","14870","12659"
"29.10.2015 21:15 - 29.10.2015 21:30","14664","12401"
"29.10.2015 21:30 - 29.10.2015 21:45","14365","12081"
"29.10.2015 21:45 - 29.10.2015 22:00","14066","11825"
"29.10.2015 22:00 - 29.10.2015 22:15","13810","11516"
"29.10.2015 22:15 - 29.10.2015 22:30","13567","11240"
"29.10.2015 22:30 - 29.10.2015 22:45","13279","10919"
"29.10.2015 22:45 - 29.10.2015 23:00","12973","10655"
"29.10.2015 23:00 - 29.10.2015 23:15","12752","10465"
"29.10.2015 23:15 - 29.10.2015 23:30","12572","10259"
"29.10.2015 23:30 - 29.10.2015 23:45","12296","10000"
"29.10.2015 23:45 - 30.10.2015 00:00","11996","9725"
"30.10.2015 00:00 - 30.10.2015 00:15","11705","9448"
"30.10.2015 00:15 - 30.10.2015 00:30","11516","9212"
"30.10.2015 00:30 - 30.10.2015 00:45","11360","8992"
"30.10.2015 00:45 - 30.10.2015 01:00","11178","8765"
"30.10.2015 01:00 - 30.10.2015 01:15","11011","8529"
"30.10.2015 01:15 - 30.10.2015 01:30","10844","8376"
"30.10.2015 01:30 - 30.10.2015 01:45","10684","8304"
"30.10.2015 01:45 - 30.10.2015 02:00","10536","8261"
"30.10.2015 02:00 - 30.10.2015 02:15","10453","8185"
"30.10.2015 02:15 - 30.10.2015 02:30","10389","8164"
"30.10.2015 02:30 - 30.10.2015 02:45","10340","8144"
"30.10.2015 02:45 - 30.10.2015 03:00","10312","8123"
"30.10.2015 03:00 - 30.10.2015 03:15","10287","8139"
"30.10.2015 03:15 - 30.10.2015 03:30","10262","8130"
"30.10.2015 03:30 - 30.10.2015 03:45","10218","8117"
"30.10.2015 03:45 - 30.10.2015 04:00","10201","8109"
"30.10.2015 04:00 - 30.10.2015 04:15","10215","8125"
"30.10.2015 04:15 - 30.10.2015 04:30","10260","8150"
"30.10.2015 04:30 - 30.10.2015 04:45","10305","8181"
"30.10.2015 04:45 - 30.10.2015 05:00","10373","8227"
"30.10.2015 05:00 - 30.10.2015 05:15","10465","8366"
"30.10.2015 05:15 - 30.10.2015 05:30","10569","8508"
"30.10.2015 05:30 - 30.10.2015 05:45","10745","8720"
"30.10.2015 05:45 - 30.10.2015 06:00","10980","8993"
"30.10.2015 06:00 - 30.10.2015 06:15","11335","9418"
"30.10.2015 06:15 - 30.10.2015 06:30","11773","9801"
"30.10.2015 06:30 - 30.10.2015 06:45","12229","10237"
"30.10.2015 06:45 - 30.10.2015 07:00","12690","10781"
"30.10.2015 07:00 - 30.10.2015 07:15","13268","11446"
"30.10.2015 07:15 - 30.10.2015 07:30","13937","11790"
"30.10.2015 07:30 - 30.10.2015 07:45","14591","12212"
"30.10.2015 07:45 - 30.10.2015 08:00","15077","12565"
"30.10.2015 08:00 - 30.10.2015 08:15","15435","12869"
"30.10.2015 08:15 - 30.10.2015 08:30","15685","13058"
"30.10.2015 08:30 - 30.10.2015 08:45","15906","13273"
"30.10.2015 08:45 - 30.10.2015 09:00","16124","13489"
"30.10.2015 09:00 - 30.10.2015 09:15","16269","13617"
"30.10.2015 09:15 - 30.10.2015 09:30","16330","13661"
"30.10.2015 09:30 - 30.10.2015 09:45","16334","13636"
"30.10.2015 09:45 - 30.10.2015 10:00","16353","13633"
"30.10.2015 10:00 - 30.10.2015 10:15","16387","13595"
"30.10.2015 10:15 - 30.10.2015 10:30","16394","13573"
"30.10.2015 10:30 - 30.10.2015 10:45","16421","13588"
"30.10.2015 10:45 - 30.10.2015 11:00","16433","13554"
"30.10.2015 11:00 - 30.10.2015 11:15","16414","13523"
"30.10.2015 11:15 - 30.10.2015 11:30","16453","13493"
"30.10.2015 11:30 - 30.10.2015 11:45","16458","13495"
"30.10.2015 11:45 - 30.10.2015 12:00","16392","13479"
"30.10.2015 12:00 - 30.10.2015 12:15","16349","13422"
"30.10.2015 12:15 - 30.10.2015 12:30","16305","13321"
"30.10.2015 12:30 - 30.10.2015 12:45","16106","13190"
"30.10.2015 12:45 - 30.10.2015 13:00","16039","13167"
"30.10.2015 13:00 - 30.10.2015 13:15","16095","13236"
"30.10.2015 13:15 - 30.10.2015 13:30","16185","13329"
"30.10.2015 13:30 - 30.10.2015 13:45","16213","13332"
"30.10.2015 13:45 - 30.10.2015 14:00","16207","13303"
"30.10.2015 14:00 - 30.10.2015 14:15","16168","13256"
"30.10.2015 14:15 - 30.10.2015 14:30","16138","13240"
"30.10.2015 14:30 - 30.10.2015 14:45","16039","13174"
"30.10.2015 14:45 - 30.10.2015 15:00","15967","13154"
"30.10.2015 15:00 - 30.10.2015 15:15","15913","13134"
"30.10.2015 15:15 - 30.10.2015 15:30","15799","13155"
"30.10.2015 15:30 - 30.10.2015 15:45","15730","13181"
"30.10.2015 15:45 - 30.10.2015 16:00","15724","13193"
"30.10.2015 16:00 - 30.10.2015 16:15","15634","13195"
"30.10.2015 16:15 - 30.10.2015 16:30","15523","13244"
"30.10.2015 16:30 - 30.10.2015 16:45","15573","13370"
"30.10.2015 16:45 - 30.10.2015 17:00","15433","13588"
"30.10.2015 17:00 - 30.10.2015 17:15","15793","13813"
"30.10.2015 17:15 - 30.10.2015 17:30","15763","14272"
"30.10.2015 17:30 - 30.10.2015 17:45","15875","14742"
"30.10.2015 17:45 - 30.10.2015 18:00","15848","14856"
"30.10.2015 18:00 - 30.10.2015 18:15","15762","14625"
"30.10.2015 18:15 - 30.10.2015 18:30","15410","14389"
"30.10.2015 18:30 - 30.10.2015 18:45","15311","14244"
"30.10.2015 18:45 - 30.10.2015 19:00","15384","14124"
"30.10.2015 19:00 - 30.10.2015 19:15","15586","13932"
"30.10.2015 19:15 - 30.10.2015 19:30","15582","13739"
"30.10.2015 19:30 - 30.10.2015 19:45","15494","13562"
"30.10.2015 19:45 - 30.10.2015 20:00","15406","13434"
"30.10.2015 20:00 - 30.10.2015 20:15","15371","13187"
"30.10.2015 20:15 - 30.10.2015 20:30","15264","12952"
"30.10.2015 20:30 - 30.10.2015 20:45","15112","12677"
"30.10.2015 20:45 - 30.10.2015 21:00","14808","12396"
"30.10.2015 21:00 - 30.10.2015 21:15","14518","12144"
"30.10.2015 21:15 - 30.10.2015 21:30","14368","11870"
"30.10.2015 21:30 - 30.10.2015 21:45","14101","11585"
"30.10.2015 21:45 - 30.10.2015 22:00","13851","11351"
"30.10.2015 22:00 - 30.10.2015 22:15","13583","11108"
"30.10.2015 22:15 - 30.10.2015 22:30","13404","10905"
"30.10.2015 22:30 - 30.10.2015 22:45","13160","10670"
"30.10.2015 22:45 - 30.10.2015 23:00","12837","10443"
"30.10.2015 23:00 - 30.10.2015 23:15","12625","10329"
"30.10.2015 23:15 - 30.10.2015 23:30","12513","10133"
"30.10.2015 23:30 - 30.10.2015 23:45","12283","9866"
"30.10.2015 23:45 - 31.10.2015 00:00","11966","9623"
"31.10.2015 00:00 - 31.10.2015 00:15","12765","9591"
"31.10.2015 00:15 - 31.10.2015 00:30","12526","9376"
"31.10.2015 00:30 - 31.10.2015 00:45","12294","9175"
"31.10.2015 00:45 - 31.10.2015 01:00","12034","8976"
"31.10.2015 01:00 - 31.10.2015 01:15","11813","8831"
"31.10.2015 01:15 - 31.10.2015 01:30","11632","8682"
"31.10.2015 01:30 - 31.10.2015 01:45","11445","8550"
"31.10.2015 01:45 - 31.10.2015 02:00","11279","8451"
"31.10.2015 02:00 - 31.10.2015 02:15","11182","8368"
"31.10.2015 02:15 - 31.10.2015 02:30","11125","8291"
"31.10.2015 02:30 - 31.10.2015 02:45","11081","8212"
"31.10.2015 02:45 - 31.10.2015 03:00","11030","8142"
"31.10.2015 03:00 - 31.10.2015 03:15","10957","8104"
"31.10.2015 03:15 - 31.10.2015 03:30","10906","8075"
"31.10.2015 03:30 - 31.10.2015 03:45","10886","8029"
"31.10.2015 03:45 - 31.10.2015 04:00","10875","7999"
"31.10.2015 04:00 - 31.10.2015 04:15","10841","8004"
"31.10.2015 04:15 - 31.10.2015 04:30","10859","7999"
"31.10.2015 04:30 - 31.10.2015 04:45","10889","7996"
"31.10.2015 04:45 - 31.10.2015 05:00","10882","7986"
"31.10.2015 05:00 - 31.10.2015 05:15","10900","8037"
"31.10.2015 05:15 - 31.10.2015 05:30","10925","8081"
"31.10.2015 05:30 - 31.10.2015 05:45","10959","8150"
"31.10.2015 05:45 - 31.10.2015 06:00","11034","8251"
"31.10.2015 06:00 - 31.10.2015 06:15","11113","8431"
"31.10.2015 06:15 - 31.10.2015 06:30","11214","8586"
"31.10.2015 06:30 - 31.10.2015 06:45","11371","8785"
"31.10.2015 06:45 - 31.10.2015 07:00","11558","8997"
"31.10.2015 07:00 - 31.10.2015 07:15","11718","9266"
"31.10.2015 07:15 - 31.10.2015 07:30","11944","9326"
"31.10.2015 07:30 - 31.10.2015 07:45","12251","9512"
"31.10.2015 07:45 - 31.10.2015 08:00","12477","9735"
"31.10.2015 08:00 - 31.10.2015 08:15","12591","10016"
"31.10.2015 08:15 - 31.10.2015 08:30","12739","10280"
"31.10.2015 08:30 - 31.10.2015 08:45","12948","10530"
"31.10.2015 08:45 - 31.10.2015 09:00","13187","10767"
"31.10.2015 09:00 - 31.10.2015 09:15","13358","10968"
"31.10.2015 09:15 - 31.10.2015 09:30","13498","11097"
"31.10.2015 09:30 - 31.10.2015 09:45","13681","11203"
"31.10.2015 09:45 - 31.10.2015 10:00","13826","11277"
"31.10.2015 10:00 - 31.10.2015 10:15","13938","11309"
"31.10.2015 10:15 - 31.10.2015 10:30","13991","11310"
"31.10.2015 10:30 - 31.10.2015 10:45","14061","11287"
"31.10.2015 10:45 - 31.10.2015 11:00","14102","11250"
"31.10.2015 11:00 - 31.10.2015 11:15","14112","11216"
"31.10.2015 11:15 - 31.10.2015 11:30","14123","11190"
"31.10.2015 11:30 - 31.10.2015 11:45","14115","11154"
"31.10.2015 11:45 - 31.10.2015 12:00","14056","11132"
"31.10.2015 12:00 - 31.10.2015 12:15","14021","11067"
"31.10.2015 12:15 - 31.10.2015 12:30","13955","10998"
"31.10.2015 12:30 - 31.10.2015 12:45","13874","10908"
"31.10.2015 12:45 - 31.10.2015 13:00","13802","10833"
"31.10.2015 13:00 - 31.10.2015 13:15","13728","10761"
"31.10.2015 13:15 - 31.10.2015 13:30","13716","10741"
"31.10.2015 13:30 - 31.10.2015 13:45","13662","10701"
"31.10.2015 13:45 - 31.10.2015 14:00","13577","10680"
"31.10.2015 14:00 - 31.10.2015 14:15","13524","10654"
"31.10.2015 14:15 - 31.10.2015 14:30","13528","10641"
"31.10.2015 14:30 - 31.10.2015 14:45","13511","10625"
"31.10.2015 14:45 - 31.10.2015 15:00","13483","10627"
"31.10.2015 15:00 - 31.10.2015 15:15","13460","10628"
"31.10.2015 15:15 - 31.10.2015 15:30","13460","10669"
"31.10.2015 15:30 - 31.10.2015 15:45","13431","10733"
"31.10.2015 15:45 - 31.10.2015 16:00","13446","10855"
"31.10.2015 16:00 - 31.10.2015 16:15","13506","10924"
"31.10.2015 16:15 - 31.10.2015 16:30","13574","11052"
"31.10.2015 16:30 - 31.10.2015 16:45","13682","11237"
"31.10.2015 16:45 - 31.10.2015 17:00","13788","11529"
"31.10.2015 17:00 - 31.10.2015 17:15","13945","11806"
"31.10.2015 17:15 - 31.10.2015 17:30","14116","12270"
"31.10.2015 17:30 - 31.10.2015 17:45","14271","12864"
"31.10.2015 17:45 - 31.10.2015 18:00","14369","13180"
"31.10.2015 18:00 - 31.10.2015 18:15","14266","13067"
"31.10.2015 18:15 - 31.10.2015 18:30","14042","12917"
"31.10.2015 18:30 - 31.10.2015 18:45","14060","12762"
"31.10.2015 18:45 - 31.10.2015 19:00","14195","12650"
"31.10.2015 19:00 - 31.10.2015 19:15","14318","12504"
"31.10.2015 19:15 - 31.10.2015 19:30","14294","12372"
"31.10.2015 19:30 - 31.10.2015 19:45","14238","12253"
"31.10.2015 19:45 - 31.10.2015 20:00","14142","12133"
"31.10.2015 20:00 - 31.10.2015 20:15","14093","11974"
"31.10.2015 20:15 - 31.10.2015 20:30","13996","11778"
"31.10.2015 20:30 - 31.10.2015 20:45","13771","11523"
"31.10.2015 20:45 - 31.10.2015 21:00","13589","11305"
"31.10.2015 21:00 - 31.10.2015 21:15","13522","11102"
"31.10.2015 21:15 - 31.10.2015 21:30","13553","10992"
"31.10.2015 21:30 - 31.10.2015 21:45","13464","10815"
"31.10.2015 21:45 - 31.10.2015 22:00","13272","10661"
"31.10.2015 22:00 - 31.10.2015 22:15","13067","10502"
"31.10.2015 22:15 - 31.10.2015 22:30","12870","10345"
"31.10.2015 22:30 - 31.10.2015 22:45","12693","10167"
"31.10.2015 22:45 - 31.10.2015 23:00","12527","9997"
"31.10.2015 23:00 - 31.10.2015 23:15","12372","9814"
"31.10.2015 23:15 - 31.10.2015 23:30","12259","9616"
"31.10.2015 23:30 - 31.10.2015 23:45","12067","9424"
"31.10.2015 23:45 - 01.11.2015 00:00","11815","9216"
"01.11.2015 00:00 - 01.11.2015 00:15","8912","9004"
"01.11.2015 00:15 - 01.11.2015 00:30","8729","8865"
"01.11.2015 00:30 - 01.11.2015 00:45","8508","8690"
"01.11.2015 00:45 - 01.11.2015 01:00","8322","8512"
"01.11.2015 01:00 - 01.11.2015 01:15","8168","8368"
"01.11.2015 01:15 - 01.11.2015 01:30","8023","8262"
"01.11.2015 01:30 - 01.11.2015 01:45","7881","8143"
"01.11.2015 01:45 - 01.11.2015 02:00","7784","8036"
"01.11.2015 02:00 - 01.11.2015 02:15","7726","7983"
"01.11.2015 02:15 - 01.11.2015 02:30","7654","7932"
"01.11.2015 02:30 - 01.11.2015 02:45","7606","7872"
"01.11.2015 02:45 - 01.11.2015 03:00","7550","7811"
"01.11.2015 03:00 - 01.11.2015 03:15","7510","7785"
"01.11.2015 03:15 - 01.11.2015 03:30","7481","7750"
"01.11.2015 03:30 - 01.11.2015 03:45","7456","7722"
"01.11.2015 03:45 - 01.11.2015 04:00","7428","7693"
"01.11.2015 04:00 - 01.11.2015 04:15","7433","7687"
"01.11.2015 04:15 - 01.11.2015 04:30","7431","7675"
"01.11.2015 04:30 - 01.11.2015 04:45","7424","7659"
"01.11.2015 04:45 - 01.11.2015 05:00","7425","7641"
"01.11.2015 05:00 - 01.11.2015 05:15","7447","7671"
"01.11.2015 05:15 - 01.11.2015 05:30","7462","7706"
"01.11.2015 05:30 - 01.11.2015 05:45","7487","7745"
"01.11.2015 05:45 - 01.11.2015 06:00","7520","7792"
"01.11.2015 06:00 - 01.11.2015 06:15","7590","7884"
"01.11.2015 06:15 - 01.11.2015 06:30","7659","7959"
"01.11.2015 06:30 - 01.11.2015 06:45","7745","8044"
"01.11.2015 06:45 - 01.11.2015 07:00","7836","8140"
"01.11.2015 07:00 - 01.11.2015 07:15","8012","8275"
"01.11.2015 07:15 - 01.11.2015 07:30","8165","8276"
"01.11.2015 07:30 - 01.11.2015 07:45","8323","8386"
"01.11.2015 07:45 - 01.11.2015 08:00","8416","8558"
"01.11.2015 08:00 - 01.11.2015 08:15","8536","8792"
"01.11.2015 08:15 - 01.11.2015 08:30","8722","8995"
"01.11.2015 08:30 - 01.11.2015 08:45","8928","9191"
"01.11.2015 08:45 - 01.11.2015 09:00","9121","9379"
"01.11.2015 09:00 - 01.11.2015 09:15","9291","9537"
"01.11.2015 09:15 - 01.11.2015 09:30","9447","9691"
"01.11.2015 09:30 - 01.11.2015 09:45","9568","9792"
"01.11.2015 09:45 - 01.11.2015 10:00","9676","9876"
"01.11.2015 10:00 - 01.11.2015 10:15","9763","9978"
"01.11.2015 10:15 - 01.11.2015 10:30","9822","10036"
"01.11.2015 10:30 - 01.11.2015 10:45","9859","10049"
"01.11.2015 10:45 - 01.11.2015 11:00","9902","10067"
"01.11.2015 11:00 - 01.11.2015 11:15","9962","10101"
"01.11.2015 11:15 - 01.11.2015 11:30","9991","10126"
"01.11.2015 11:30 - 01.11.2015 11:45","10013","10149"
"01.11.2015 11:45 - 01.11.2015 12:00","10075","10201"
"01.11.2015 12:00 - 01.11.2015 12:15","10126","10256"
"01.11.2015 12:15 - 01.11.2015 12:30","10150","10264"
"01.11.2015 12:30 - 01.11.2015 12:45","10129","10237"
"01.11.2015 12:45 - 01.11.2015 13:00","10103","10222"
"01.11.2015 13:00 - 01.11.2015 13:15","10067","10210"
"01.11.2015 13:15 - 01.11.2015 13:30","10036","10186"
"01.11.2015 13:30 - 01.11.2015 13:45","9975","10136"
"01.11.2015 13:45 - 01.11.2015 14:00","9921","10092"
"01.11.2015 14:00 - 01.11.2015 14:15","9875","10076"
"01.11.2015 14:15 - 01.11.2015 14:30","9831","10072"
"01.11.2015 14:30 - 01.11.2015 14:45","9785","10071"
"01.11.2015 14:45 - 01.11.2015 15:00","9752","10065"
"01.11.2015 15:00 - 01.11.2015 15:15","9737","10090"
"01.11.2015 15:15 - 01.11.2015 15:30","9731","10107"
"01.11.2015 15:30 - 01.11.2015 15:45","9742","10152"
"01.11.2015 15:45 - 01.11.2015 16:00","9759","10254"
"01.11.2015 16:00 - 01.11.2015 16:15","9800","10362"
"01.11.2015 16:15 - 01.11.2015 16:30","9891","10489"
"01.11.2015 16:30 - 01.11.2015 16:45","10040","10691"
"01.11.2015 16:45 - 01.11.2015 17:00","10256","10981"
"01.11.2015 17:00 - 01.11.2015 17:15","10471","11317"
"01.11.2015 17:15 - 01.11.2015 17:30","10714","11883"
"01.11.2015 17:30 - 01.11.2015 17:45","10949","12549"
"01.11.2015 17:45 - 01.11.2015 18:00","11154","12864"
"01.11.2015 18:00 - 01.11.2015 18:15","11199","12822"
"01.11.2015 18:15 - 01.11.2015 18:30","11241","12718"
"01.11.2015 18:30 - 01.11.2015 18:45","11292","12592"
"01.11.2015 18:45 - 01.11.2015 19:00","11497","12544"
"01.11.2015 19:00 - 01.11.2015 19:15","11695","12423"
"01.11.2015 19:15 - 01.11.2015 19:30","11910","12315"
"01.11.2015 19:30 - 01.11.2015 19:45","11879","12233"
"01.11.2015 19:45 - 01.11.2015 20:00","11884","12196"
"01.11.2015 20:00 - 01.11.2015 20:15","11773","12043"
"01.11.2015 20:15 - 01.11.2015 20:30","11655","11904"
"01.11.2015 20:30 - 01.11.2015 20:45","11416","11637"
"01.11.2015 20:45 - 01.11.2015 21:00","11242","11443"
"01.11.2015 21:00 - 01.11.2015 21:15","11018","11206"
"01.11.2015 21:15 - 01.11.2015 21:30","10929","11114"
"01.11.2015 21:30 - 01.11.2015 21:45","10761","10926"
"01.11.2015 21:45 - 01.11.2015 22:00","10608","10763"
"01.11.2015 22:00 - 01.11.2015 22:15","10407","10580"
"01.11.2015 22:15 - 01.11.2015 22:30","10206","10391"
"01.11.2015 22:30 - 01.11.2015 22:45","9960","10150"
"01.11.2015 22:45 - 01.11.2015 23:00","9719","9896"
"01.11.2015 23:00 - 01.11.2015 23:15","9468","9646"
"01.11.2015 23:15 - 01.11.2015 23:30","9246","9395"
"01.11.2015 23:30 - 01.11.2015 23:45","9015","9145"
"01.11.2015 23:45 - 02.11.2015 00:00","8801","8941"
"02.11.2015 00:00 - 02.11.2015 00:15","11222","8563"
"02.11.2015 00:15 - 02.11.2015 00:30","11012","8439"
"02.11.2015 00:30 - 02.11.2015 00:45","10821","8273"
"02.11.2015 00:45 - 02.11.2015 01:00","10668","8145"
"02.11.2015 01:00 - 02.11.2015 01:15","10488","8036"
"02.11.2015 01:15 - 02.11.2015 01:30","10356","7965"
"02.11.2015 01:30 - 02.11.2015 01:45","10286","7886"
"02.11.2015 01:45 - 02.11.2015 02:00","10232","7833"
"02.11.2015 02:00 - 02.11.2015 02:15","10191","7810"
"02.11.2015 02:15 - 02.11.2015 02:30","10147","7783"
"02.11.2015 02:30 - 02.11.2015 02:45","10129","7758"
"02.11.2015 02:45 - 02.11.2015 03:00","10133","7726"
"02.11.2015 03:00 - 02.11.2015 03:15","10156","7738"
"02.11.2015 03:15 - 02.11.2015 03:30","10218","7735"
"02.11.2015 03:30 - 02.11.2015 03:45","10212","7723"
"02.11.2015 03:45 - 02.11.2015 04:00","10217","7721"
"02.11.2015 04:00 - 02.11.2015 04:15","10254","7766"
"02.11.2015 04:15 - 02.11.2015 04:30","10350","7811"
"02.11.2015 04:30 - 02.11.2015 04:45","10444","7869"
"02.11.2015 04:45 - 02.11.2015 05:00","10516","7925"
"02.11.2015 05:00 - 02.11.2015 05:15","10598","8091"
"02.11.2015 05:15 - 02.11.2015 05:30","10779","8266"
"02.11.2015 05:30 - 02.11.2015 05:45","10955","8500"
"02.11.2015 05:45 - 02.11.2015 06:00","11234","8785"
"02.11.2015 06:00 - 02.11.2015 06:15","11531","9314"
"02.11.2015 06:15 - 02.11.2015 06:30","11976","9779"
"02.11.2015 06:30 - 02.11.2015 06:45","12465","10289"
"02.11.2015 06:45 - 02.11.2015 07:00","13051","10835"
"02.11.2015 07:00 - 02.11.2015 07:15","13445","11581"
"02.11.2015 07:15 - 02.11.2015 07:30","14016","12062"
"02.11.2015 07:30 - 02.11.2015 07:45","14647","12431"
"02.11.2015 07:45 - 02.11.2015 08:00","15015","12795"
"02.11.2015 08:00 - 02.11.2015 08:15","15459","13111"
"02.11.2015 08:15 - 02.11.2015 08:30","15797","13289"
"02.11.2015 08:30 - 02.11.2015 08:45","16000","13469"
"02.11.2015 08:45 - 02.11.2015 09:00","16236","13661"
"02.11.2015 09:00 - 02.11.2015 09:15","16418","13750"
"02.11.2015 09:15 - 02.11.2015 09:30","16564","13782"
"02.11.2015 09:30 - 02.11.2015 09:45","16609","13760"
"02.11.2015 09:45 - 02.11.2015 10:00","16606","13745"
"02.11.2015 10:00 - 02.11.2015 10:15","16636","13690"
"02.11.2015 10:15 - 02.11.2015 10:30","16629","13643"
"02.11.2015 10:30 - 02.11.2015 10:45","16646","13623"
"02.11.2015 10:45 - 02.11.2015 11:00","16689","13601"
"02.11.2015 11:00 - 02.11.2015 11:15","16645","13577"
"02.11.2015 11:15 - 02.11.2015 11:30","16608","13559"
"02.11.2015 11:30 - 02.11.2015 11:45","16507","13534"
"02.11.2015 11:45 - 02.11.2015 12:00","16393","13520"
"02.11.2015 12:00 - 02.11.2015 12:15","16361","13460"
"02.11.2015 12:15 - 02.11.2015 12:30","16331","13358"
"02.11.2015 12:30 - 02.11.2015 12:45","16306","13238"
"02.11.2015 12:45 - 02.11.2015 13:00","16238","13247"
"02.11.2015 13:00 - 02.11.2015 13:15","16267","13346"
"02.11.2015 13:15 - 02.11.2015 13:30","16414","13416"
"02.11.2015 13:30 - 02.11.2015 13:45","16397","13408"
"02.11.2015 13:45 - 02.11.2015 14:00","16298","13398"
"02.11.2015 14:00 - 02.11.2015 14:15","16496","13408"
"02.11.2015 14:15 - 02.11.2015 14:30","16395","13410"
"02.11.2015 14:30 - 02.11.2015 14:45","16264","13386"
"02.11.2015 14:45 - 02.11.2015 15:00","16356","13400"
"02.11.2015 15:00 - 02.11.2015 15:15","16318","13378"
"02.11.2015 15:15 - 02.11.2015 15:30","16248","13438"
"02.11.2015 15:30 - 02.11.2015 15:45","16260","13528"
"02.11.2015 15:45 - 02.11.2015 16:00","16287","13642"
"02.11.2015 16:00 - 02.11.2015 16:15","16270","13710"
"02.11.2015 16:15 - 02.11.2015 16:30","16340","13775"
