"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"09.11.2015 10:30 - 09.11.2015 10:45","67739","69268"
"09.11.2015 10:45 - 09.11.2015 11:00","67807","69852"
"09.11.2015 11:00 - 09.11.2015 11:15","67571","70642"
"09.11.2015 11:15 - 09.11.2015 11:30","67905","71382"
"09.11.2015 11:30 - 09.11.2015 11:45","67835","70610"
"09.11.2015 11:45 - 09.11.2015 12:00","68131","70660"
"09.11.2015 12:00 - 09.11.2015 12:15","67421","71272"
"09.11.2015 12:15 - 09.11.2015 12:30","67087","71037"
"09.11.2015 12:30 - 09.11.2015 12:45","66983","70742"
"09.11.2015 12:45 - 09.11.2015 13:00","66648","70973"
"09.11.2015 13:00 - 09.11.2015 13:15","67369","71140"
"09.11.2015 13:15 - 09.11.2015 13:30","66939","70900"
"09.11.2015 13:30 - 09.11.2015 13:45","66448","70905"
"09.11.2015 13:45 - 09.11.2015 14:00","66282","69849"
"09.11.2015 14:00 - 09.11.2015 14:15","65993","69227"
"09.11.2015 14:15 - 09.11.2015 14:30","65799","68929"
"09.11.2015 14:30 - 09.11.2015 14:45","65868","68826"
"09.11.2015 14:45 - 09.11.2015 15:00","64985","68817"
"09.11.2015 15:00 - 09.11.2015 15:15","65744","68744"
"09.11.2015 15:15 - 09.11.2015 15:30","64861","68326"
"09.11.2015 15:30 - 09.11.2015 15:45","64856","67566"
"09.11.2015 15:45 - 09.11.2015 16:00","64462","67316"
"09.11.2015 16:00 - 09.11.2015 16:15","64479","67166"
"09.11.2015 16:15 - 09.11.2015 16:30","64359","67460"
"09.11.2015 16:30 - 09.11.2015 16:45","65034","67748"
"09.11.2015 16:45 - 09.11.2015 17:00","65448","68812"
"09.11.2015 17:00 - 09.11.2015 17:15","66482","70198"
"09.11.2015 17:15 - 09.11.2015 17:30","67658","71377"
"09.11.2015 17:30 - 09.11.2015 17:45","68568","71931"
"09.11.2015 17:45 - 09.11.2015 18:00","68919","72057"
"09.11.2015 18:00 - 09.11.2015 18:15","68210","71405"
"09.11.2015 18:15 - 09.11.2015 18:30","68114","71152"
"09.11.2015 18:30 - 09.11.2015 18:45","68015","71093"
"09.11.2015 18:45 - 09.11.2015 19:00","67580","70719"
"09.11.2015 19:00 - 09.11.2015 19:15","67364","70448"
"09.11.2015 19:15 - 09.11.2015 19:30","66703","68873"
"09.11.2015 19:30 - 09.11.2015 19:45","65850","68728"
"09.11.2015 19:45 - 09.11.2015 20:00","65242","68362"
"09.11.2015 20:00 - 09.11.2015 20:15","64279","66779"
"09.11.2015 20:15 - 09.11.2015 20:30","63254","65460"
"09.11.2015 20:30 - 09.11.2015 20:45","62074","64355"
"09.11.2015 20:45 - 09.11.2015 21:00","61015","63087"
"09.11.2015 21:00 - 09.11.2015 21:15","60628","62250"
"09.11.2015 21:15 - 09.11.2015 21:30","59397","61463"
"09.11.2015 21:30 - 09.11.2015 21:45","58528","60386"
"09.11.2015 21:45 - 09.11.2015 22:00","57221","59470"
"09.11.2015 22:00 - 09.11.2015 22:15","56621","59197"
"09.11.2015 22:15 - 09.11.2015 22:30","55751","57872"
"09.11.2015 22:30 - 09.11.2015 22:45","54466","56551"
"09.11.2015 22:45 - 09.11.2015 23:00","53348","54848"
"09.11.2015 23:00 - 09.11.2015 23:15","52004","53780"
"09.11.2015 23:15 - 09.11.2015 23:30","50774","52576"
"09.11.2015 23:30 - 09.11.2015 23:45","49561","51215"
"09.11.2015 23:45 - 10.11.2015 00:00","48454","50180"
"10.11.2015 00:00 - 10.11.2015 00:15","47309","49427"
"10.11.2015 00:15 - 10.11.2015 00:30","47333","48693"
"10.11.2015 00:30 - 10.11.2015 00:45","46578","47928"
"10.11.2015 00:45 - 10.11.2015 01:00","46043","47363"
"10.11.2015 01:00 - 10.11.2015 01:15","45362","47023"
"10.11.2015 01:15 - 10.11.2015 01:30","44953","46756"
"10.11.2015 01:30 - 10.11.2015 01:45","44926","46484"
"10.11.2015 01:45 - 10.11.2015 02:00","44724","45966"
"10.11.2015 02:00 - 10.11.2015 02:15","44610","45619"
"10.11.2015 02:15 - 10.11.2015 02:30","44395","45505"
"10.11.2015 02:30 - 10.11.2015 02:45","44381","45801"
"10.11.2015 02:45 - 10.11.2015 03:00","44393","45746"
"10.11.2015 03:00 - 10.11.2015 03:15","44545","45805"
"10.11.2015 03:15 - 10.11.2015 03:30","44804","45907"
"10.11.2015 03:30 - 10.11.2015 03:45","44982","46203"
"10.11.2015 03:45 - 10.11.2015 04:00","45381","46730"
"10.11.2015 04:00 - 10.11.2015 04:15","45790","47229"
"10.11.2015 04:15 - 10.11.2015 04:30","46370","48093"
"10.11.2015 04:30 - 10.11.2015 04:45","46764","48617"
"10.11.2015 04:45 - 10.11.2015 05:00","47318","49251"
"10.11.2015 05:00 - 10.11.2015 05:15","49033","50713"
"10.11.2015 05:15 - 10.11.2015 05:30","49441","51781"
"10.11.2015 05:30 - 10.11.2015 05:45","50770","52983"
"10.11.2015 05:45 - 10.11.2015 06:00","52260","54468"
"10.11.2015 06:00 - 10.11.2015 06:15","55263","57843"
"10.11.2015 06:15 - 10.11.2015 06:30","57706","60591"
"10.11.2015 06:30 - 10.11.2015 06:45","59277","62876"
"10.11.2015 06:45 - 10.11.2015 07:00","61578","64586"
"10.11.2015 07:00 - 10.11.2015 07:15","63264","66808"
"10.11.2015 07:15 - 10.11.2015 07:30","63233","67771"
"10.11.2015 07:30 - 10.11.2015 07:45","64207","68365"
"10.11.2015 07:45 - 10.11.2015 08:00","64590","68921"
"10.11.2015 08:00 - 10.11.2015 08:15","65654","69264"
"10.11.2015 08:15 - 10.11.2015 08:30","66065","69423"
"10.11.2015 08:30 - 10.11.2015 08:45","66183","69583"
"10.11.2015 08:45 - 10.11.2015 09:00","66316","69703"
"10.11.2015 09:00 - 10.11.2015 09:15","66146","69181"
"10.11.2015 09:15 - 10.11.2015 09:30","66522","69079"
"10.11.2015 09:30 - 10.11.2015 09:45","66865","69296"
"10.11.2015 09:45 - 10.11.2015 10:00","67179","69683"
"10.11.2015 10:00 - 10.11.2015 10:15","67490","69933"
"10.11.2015 10:15 - 10.11.2015 10:30","67610","69936"
"10.11.2015 10:30 - 10.11.2015 10:45","67990","70372"
"10.11.2015 10:45 - 10.11.2015 11:00","68214","70931"
"10.11.2015 11:00 - 10.11.2015 11:15","68298","71437"
"10.11.2015 11:15 - 10.11.2015 11:30","68639","71759"
"10.11.2015 11:30 - 10.11.2015 11:45","68839","72042"
"10.11.2015 11:45 - 10.11.2015 12:00","68976","71797"
"10.11.2015 12:00 - 10.11.2015 12:15","68171","71127"
"10.11.2015 12:15 - 10.11.2015 12:30","67907","70579"
"10.11.2015 12:30 - 10.11.2015 12:45","67831","70625"
"10.11.2015 12:45 - 10.11.2015 13:00","67829","70476"
"10.11.2015 13:00 - 10.11.2015 13:15","67946","70520"
"10.11.2015 13:15 - 10.11.2015 13:30","67813","70352"
"10.11.2015 13:30 - 10.11.2015 13:45","67041","69944"
"10.11.2015 13:45 - 10.11.2015 14:00","66299","69676"
"10.11.2015 14:00 - 10.11.2015 14:15","66128","69752"
"10.11.2015 14:15 - 10.11.2015 14:30","65809","69558"
"10.11.2015 14:30 - 10.11.2015 14:45","65474","69206"
"10.11.2015 14:45 - 10.11.2015 15:00","65357","68880"
"10.11.2015 15:00 - 10.11.2015 15:15","65297","68777"
"10.11.2015 15:15 - 10.11.2015 15:30","64840","68209"
"10.11.2015 15:30 - 10.11.2015 15:45","64619","68261"
"10.11.2015 15:45 - 10.11.2015 16:00","64087","67871"
"10.11.2015 16:00 - 10.11.2015 16:15","64184","67807"
"10.11.2015 16:15 - 10.11.2015 16:30","64238","68024"
"10.11.2015 16:30 - 10.11.2015 16:45","64914","68559"
"10.11.2015 16:45 - 10.11.2015 17:00","65476","69566"
"10.11.2015 17:00 - 10.11.2015 17:15","66742","70833"
"10.11.2015 17:15 - 10.11.2015 17:30","67944","71837"
"10.11.2015 17:30 - 10.11.2015 17:45","69006","72350"
"10.11.2015 17:45 - 10.11.2015 18:00","69181","72323"
"10.11.2015 18:00 - 10.11.2015 18:15","68570","71778"
"10.11.2015 18:15 - 10.11.2015 18:30","68412","71492"
"10.11.2015 18:30 - 10.11.2015 18:45","68476","71273"
"10.11.2015 18:45 - 10.11.2015 19:00","68166","71085"
"10.11.2015 19:00 - 10.11.2015 19:15","67698","70498"
"10.11.2015 19:15 - 10.11.2015 19:30","66950","69761"
"10.11.2015 19:30 - 10.11.2015 19:45","66151","69225"
"10.11.2015 19:45 - 10.11.2015 20:00","65416","68388"
"10.11.2015 20:00 - 10.11.2015 20:15","64172","67212"
"10.11.2015 20:15 - 10.11.2015 20:30","62841","65845"
"10.11.2015 20:30 - 10.11.2015 20:45","61602","64746"
"10.11.2015 20:45 - 10.11.2015 21:00","60528","63890"
"10.11.2015 21:00 - 10.11.2015 21:15","59674","62937"
"10.11.2015 21:15 - 10.11.2015 21:30","59112","62205"
"10.11.2015 21:30 - 10.11.2015 21:45","58293","60840"
"10.11.2015 21:45 - 10.11.2015 22:00","56917","59541"
"10.11.2015 22:00 - 10.11.2015 22:15","56512","58833"
"10.11.2015 22:15 - 10.11.2015 22:30","55566","57820"
"10.11.2015 22:30 - 10.11.2015 22:45","54228","56559"
"10.11.2015 22:45 - 10.11.2015 23:00","53188","55285"
"10.11.2015 23:00 - 10.11.2015 23:15","52000","54123"
"10.11.2015 23:15 - 10.11.2015 23:30","50691","52773"
"10.11.2015 23:30 - 10.11.2015 23:45","49454","51744"
"10.11.2015 23:45 - 11.11.2015 00:00","48338","50736"
"11.11.2015 00:00 - 11.11.2015 00:15","48710","49983"
"11.11.2015 00:15 - 11.11.2015 00:30","47894","48857"
"11.11.2015 00:30 - 11.11.2015 00:45","47191","48294"
"11.11.2015 00:45 - 11.11.2015 01:00","46733","47836"
"11.11.2015 01:00 - 11.11.2015 01:15","46142","47437"
"11.11.2015 01:15 - 11.11.2015 01:30","45725","46958"
"11.11.2015 01:30 - 11.11.2015 01:45","45457","46442"
"11.11.2015 01:45 - 11.11.2015 02:00","45298","46296"
"11.11.2015 02:00 - 11.11.2015 02:15","45119","46017"
"11.11.2015 02:15 - 11.11.2015 02:30","44864","45581"
"11.11.2015 02:30 - 11.11.2015 02:45","44911","45543"
"11.11.2015 02:45 - 11.11.2015 03:00","44909","45986"
"11.11.2015 03:00 - 11.11.2015 03:15","45219","45932"
"11.11.2015 03:15 - 11.11.2015 03:30","45464","46206"
"11.11.2015 03:30 - 11.11.2015 03:45","45482","46297"
"11.11.2015 03:45 - 11.11.2015 04:00","45705","46614"
"11.11.2015 04:00 - 11.11.2015 04:15","46153","47419"
"11.11.2015 04:15 - 11.11.2015 04:30","46788","47976"
"11.11.2015 04:30 - 11.11.2015 04:45","47017","48628"
"11.11.2015 04:45 - 11.11.2015 05:00","47757","49142"
"11.11.2015 05:00 - 11.11.2015 05:15","49283","50661"
"11.11.2015 05:15 - 11.11.2015 05:30","49691","51271"
"11.11.2015 05:30 - 11.11.2015 05:45","51220","52583"
"11.11.2015 05:45 - 11.11.2015 06:00","52532","54098"
"11.11.2015 06:00 - 11.11.2015 06:15","55487","57335"
"11.11.2015 06:15 - 11.11.2015 06:30","58063","60136"
"11.11.2015 06:30 - 11.11.2015 06:45","60350","62229"
"11.11.2015 06:45 - 11.11.2015 07:00","61842","64059"
"11.11.2015 07:00 - 11.11.2015 07:15","64113","65845"
"11.11.2015 07:15 - 11.11.2015 07:30","63793","66356"
"11.11.2015 07:30 - 11.11.2015 07:45","64844","66958"
"11.11.2015 07:45 - 11.11.2015 08:00","65262","67392"
"11.11.2015 08:00 - 11.11.2015 08:15","66533","67897"
"11.11.2015 08:15 - 11.11.2015 08:30","66670","68288"
"11.11.2015 08:30 - 11.11.2015 08:45","66577","68333"
"11.11.2015 08:45 - 11.11.2015 09:00","66797","68506"
"11.11.2015 09:00 - 11.11.2015 09:15","66506","68409"
"11.11.2015 09:15 - 11.11.2015 09:30","66867","68579"
"11.11.2015 09:30 - 11.11.2015 09:45","67473","69040"
"11.11.2015 09:45 - 11.11.2015 10:00","67417","69140"
"11.11.2015 10:00 - 11.11.2015 10:15","67717","69517"
"11.11.2015 10:15 - 11.11.2015 10:30","67668","69601"
"11.11.2015 10:30 - 11.11.2015 10:45","68220","69847"
"11.11.2015 10:45 - 11.11.2015 11:00","68345","70367"
"11.11.2015 11:00 - 11.11.2015 11:15","68194","70296"
"11.11.2015 11:15 - 11.11.2015 11:30","69535","70530"
"11.11.2015 11:30 - 11.11.2015 11:45","69709","70863"
"11.11.2015 11:45 - 11.11.2015 12:00","70462","70900"
"11.11.2015 12:00 - 11.11.2015 12:15","69512","70067"
"11.11.2015 12:15 - 11.11.2015 12:30","68658","69765"
"11.11.2015 12:30 - 11.11.2015 12:45","69051","69745"
"11.11.2015 12:45 - 11.11.2015 13:00","69554","69760"
"11.11.2015 13:00 - 11.11.2015 13:15","69124","69805"
"11.11.2015 13:15 - 11.11.2015 13:30","68725","69591"
"11.11.2015 13:30 - 11.11.2015 13:45","68294","69364"
"11.11.2015 13:45 - 11.11.2015 14:00","67418","68797"
"11.11.2015 14:00 - 11.11.2015 14:15","66904","68553"
"11.11.2015 14:15 - 11.11.2015 14:30","66734","68342"
"11.11.2015 14:30 - 11.11.2015 14:45","66752","68202"
"11.11.2015 14:45 - 11.11.2015 15:00","65953","67893"
"11.11.2015 15:00 - 11.11.2015 15:15","65996","67526"
"11.11.2015 15:15 - 11.11.2015 15:30","65845","67141"
"11.11.2015 15:30 - 11.11.2015 15:45","65382","66923"
"11.11.2015 15:45 - 11.11.2015 16:00","64732","66812"
"11.11.2015 16:00 - 11.11.2015 16:15","65382","66588"
"11.11.2015 16:15 - 11.11.2015 16:30","65204","66944"
"11.11.2015 16:30 - 11.11.2015 16:45","66029","67693"
"11.11.2015 16:45 - 11.11.2015 17:00","66849","68647"
"11.11.2015 17:00 - 11.11.2015 17:15","67826","69814"
"11.11.2015 17:15 - 11.11.2015 17:30","68230","70903"
"11.11.2015 17:30 - 11.11.2015 17:45","69252","71359"
"11.11.2015 17:45 - 11.11.2015 18:00","69689","71335"
"11.11.2015 18:00 - 11.11.2015 18:15","69302","70617"
"11.11.2015 18:15 - 11.11.2015 18:30","68757","70358"
"11.11.2015 18:30 - 11.11.2015 18:45","68951","70360"
"11.11.2015 18:45 - 11.11.2015 19:00","68527","70123"
"11.11.2015 19:00 - 11.11.2015 19:15","68432","69756"
"11.11.2015 19:15 - 11.11.2015 19:30","67709","69203"
"11.11.2015 19:30 - 11.11.2015 19:45","66896","68682"
"11.11.2015 19:45 - 11.11.2015 20:00","66294","67928"
"11.11.2015 20:00 - 11.11.2015 20:15","64699","66583"
"11.11.2015 20:15 - 11.11.2015 20:30","63715","65217"
"11.11.2015 20:30 - 11.11.2015 20:45","62947","64046"
"11.11.2015 20:45 - 11.11.2015 21:00","62067","63198"
"11.11.2015 21:00 - 11.11.2015 21:15","61031","62085"
"11.11.2015 21:15 - 11.11.2015 21:30","60453","61047"
"11.11.2015 21:30 - 11.11.2015 21:45","59493","60347"
"11.11.2015 21:45 - 11.11.2015 22:00","58134","59224"
"11.11.2015 22:00 - 11.11.2015 22:15","57686","58653"
"11.11.2015 22:15 - 11.11.2015 22:30","56562","57681"
"11.11.2015 22:30 - 11.11.2015 22:45","55389","56523"
"11.11.2015 22:45 - 11.11.2015 23:00","54307","55249"
"11.11.2015 23:00 - 11.11.2015 23:15","52932","54014"
"11.11.2015 23:15 - 11.11.2015 23:30","51672","52761"
"11.11.2015 23:30 - 11.11.2015 23:45","50481","51491"
"11.11.2015 23:45 - 12.11.2015 00:00","49386","50535"
"12.11.2015 00:00 - 12.11.2015 00:15","48314","49988"
"12.11.2015 00:15 - 12.11.2015 00:30","47547","49182"
"12.11.2015 00:30 - 12.11.2015 00:45","46971","48474"
"12.11.2015 00:45 - 12.11.2015 01:00","46645","48043"
"12.11.2015 01:00 - 12.11.2015 01:15","45960","47557"
"12.11.2015 01:15 - 12.11.2015 01:30","45363","47086"
"12.11.2015 01:30 - 12.11.2015 01:45","45072","47036"
"12.11.2015 01:45 - 12.11.2015 02:00","44964","46802"
"12.11.2015 02:00 - 12.11.2015 02:15","44890","46414"
"12.11.2015 02:15 - 12.11.2015 02:30","44605","46253"
"12.11.2015 02:30 - 12.11.2015 02:45","44557","46105"
"12.11.2015 02:45 - 12.11.2015 03:00","44477","46371"
"12.11.2015 03:00 - 12.11.2015 03:15","44804","46558"
"12.11.2015 03:15 - 12.11.2015 03:30","45044","46575"
"12.11.2015 03:30 - 12.11.2015 03:45","45151","46823"
"12.11.2015 03:45 - 12.11.2015 04:00","45279","47020"
"12.11.2015 04:00 - 12.11.2015 04:15","45762","47755"
"12.11.2015 04:15 - 12.11.2015 04:30","46365","47982"
"12.11.2015 04:30 - 12.11.2015 04:45","46529","48653"
"12.11.2015 04:45 - 12.11.2015 05:00","47156","49238"
"12.11.2015 05:00 - 12.11.2015 05:15","48780","50512"
"12.11.2015 05:15 - 12.11.2015 05:30","48978","51431"
"12.11.2015 05:30 - 12.11.2015 05:45","50404","52590"
"12.11.2015 05:45 - 12.11.2015 06:00","51534","54302"
"12.11.2015 06:00 - 12.11.2015 06:15","54678","57310"
"12.11.2015 06:15 - 12.11.2015 06:30","57248","59828"
"12.11.2015 06:30 - 12.11.2015 06:45","59922","62212"
"12.11.2015 06:45 - 12.11.2015 07:00","62073","64285"
"12.11.2015 07:00 - 12.11.2015 07:15","63818","66205"
"12.11.2015 07:15 - 12.11.2015 07:30","64820","67239"
"12.11.2015 07:30 - 12.11.2015 07:45","66125","67606"
"12.11.2015 07:45 - 12.11.2015 08:00","66419","67814"
"12.11.2015 08:00 - 12.11.2015 08:15","67331","68524"
"12.11.2015 08:15 - 12.11.2015 08:30","67468","68575"
"12.11.2015 08:30 - 12.11.2015 08:45","67111","68549"
"12.11.2015 08:45 - 12.11.2015 09:00","67311","68647"
"12.11.2015 09:00 - 12.11.2015 09:15","67135","68234"
"12.11.2015 09:15 - 12.11.2015 09:30","67426","68547"
"12.11.2015 09:30 - 12.11.2015 09:45","67815","68925"
"12.11.2015 09:45 - 12.11.2015 10:00","67875","69280"
"12.11.2015 10:00 - 12.11.2015 10:15","68431","69810"
"12.11.2015 10:15 - 12.11.2015 10:30","68346","69821"
"12.11.2015 10:30 - 12.11.2015 10:45","69054","69964"
"12.11.2015 10:45 - 12.11.2015 11:00","69055","70204"
"12.11.2015 11:00 - 12.11.2015 11:15","69915","70012"
"12.11.2015 11:15 - 12.11.2015 11:30","69649","70220"
"12.11.2015 11:30 - 12.11.2015 11:45","70146","70937"
"12.11.2015 11:45 - 12.11.2015 12:00","70253","70349"
"12.11.2015 12:00 - 12.11.2015 12:15","69202","70074"
"12.11.2015 12:15 - 12.11.2015 12:30","69179","69915"
"12.11.2015 12:30 - 12.11.2015 12:45","68875","69557"
"12.11.2015 12:45 - 12.11.2015 13:00","69250","69614"
"12.11.2015 13:00 - 12.11.2015 13:15","68796","70000"
"12.11.2015 13:15 - 12.11.2015 13:30","68547","69565"
"12.11.2015 13:30 - 12.11.2015 13:45","68207","69229"
"12.11.2015 13:45 - 12.11.2015 14:00","67601","68024"
"12.11.2015 14:00 - 12.11.2015 14:15","67322","67658"
"12.11.2015 14:15 - 12.11.2015 14:30","67108","67613"
"12.11.2015 14:30 - 12.11.2015 14:45","67072","66936"
"12.11.2015 14:45 - 12.11.2015 15:00","66774","66537"
"12.11.2015 15:00 - 12.11.2015 15:15","66656","66791"
"12.11.2015 15:15 - 12.11.2015 15:30","65992","66535"
"12.11.2015 15:30 - 12.11.2015 15:45","65985","66474"
"12.11.2015 15:45 - 12.11.2015 16:00","65165","66194"
"12.11.2015 16:00 - 12.11.2015 16:15","65430","66198"
"12.11.2015 16:15 - 12.11.2015 16:30","65323","66187"
"12.11.2015 16:30 - 12.11.2015 16:45","66243","66907"
"12.11.2015 16:45 - 12.11.2015 17:00","66753","68167"
"12.11.2015 17:00 - 12.11.2015 17:15","67848","69682"
"12.11.2015 17:15 - 12.11.2015 17:30","68830","70740"
"12.11.2015 17:30 - 12.11.2015 17:45","69793","71399"
"12.11.2015 17:45 - 12.11.2015 18:00","69801","71705"
"12.11.2015 18:00 - 12.11.2015 18:15","69425","71277"
"12.11.2015 18:15 - 12.11.2015 18:30","69445","71030"
"12.11.2015 18:30 - 12.11.2015 18:45","69408","70723"
"12.11.2015 18:45 - 12.11.2015 19:00","69158","70441"
"12.11.2015 19:00 - 12.11.2015 19:15","68642","69956"
"12.11.2015 19:15 - 12.11.2015 19:30","68107","69234"
"12.11.2015 19:30 - 12.11.2015 19:45","67152","68614"
"12.11.2015 19:45 - 12.11.2015 20:00","66457","67934"
"12.11.2015 20:00 - 12.11.2015 20:15","65380","66766"
"12.11.2015 20:15 - 12.11.2015 20:30","64079","65397"
"12.11.2015 20:30 - 12.11.2015 20:45","62376","64424"
"12.11.2015 20:45 - 12.11.2015 21:00","61396","63130"
"12.11.2015 21:00 - 12.11.2015 21:15","60561","62417"
"12.11.2015 21:15 - 12.11.2015 21:30","59872","61542"
"12.11.2015 21:30 - 12.11.2015 21:45","59092","60385"
"12.11.2015 21:45 - 12.11.2015 22:00","57891","59511"
"12.11.2015 22:00 - 12.11.2015 22:15","57291","58989"
"12.11.2015 22:15 - 12.11.2015 22:30","56331","58017"
"12.11.2015 22:30 - 12.11.2015 22:45","54938","56906"
"12.11.2015 22:45 - 12.11.2015 23:00","53755","55682"
"12.11.2015 23:00 - 12.11.2015 23:15","52719","54354"
"12.11.2015 23:15 - 12.11.2015 23:30","51561","52998"
"12.11.2015 23:30 - 12.11.2015 23:45","50389","52060"
"12.11.2015 23:45 - 13.11.2015 00:00","49382","51056"
"13.11.2015 00:00 - 13.11.2015 00:15","49074","50006"
"13.11.2015 00:15 - 13.11.2015 00:30","48244","49166"
"13.11.2015 00:30 - 13.11.2015 00:45","47574","48368"
"13.11.2015 00:45 - 13.11.2015 01:00","47092","47875"
"13.11.2015 01:00 - 13.11.2015 01:15","46459","47237"
"13.11.2015 01:15 - 13.11.2015 01:30","46067","46655"
"13.11.2015 01:30 - 13.11.2015 01:45","45727","46460"
"13.11.2015 01:45 - 13.11.2015 02:00","45652","46296"
"13.11.2015 02:00 - 13.11.2015 02:15","45593","45805"
"13.11.2015 02:15 - 13.11.2015 02:30","45312","45692"
"13.11.2015 02:30 - 13.11.2015 02:45","45343","45854"
"13.11.2015 02:45 - 13.11.2015 03:00","45140","45610"
"13.11.2015 03:00 - 13.11.2015 03:15","45479","45919"
"13.11.2015 03:15 - 13.11.2015 03:30","45729","46162"
"13.11.2015 03:30 - 13.11.2015 03:45","45833","46214"
"13.11.2015 03:45 - 13.11.2015 04:00","46090","46061"
"13.11.2015 04:00 - 13.11.2015 04:15","46453","46594"
"13.11.2015 04:15 - 13.11.2015 04:30","46940","46898"
"13.11.2015 04:30 - 13.11.2015 04:45","47246","47645"
"13.11.2015 04:45 - 13.11.2015 05:00","47872","48169"
"13.11.2015 05:00 - 13.11.2015 05:15","49362","49896"
"13.11.2015 05:15 - 13.11.2015 05:30","49819","50590"
"13.11.2015 05:30 - 13.11.2015 05:45","51314","51738"
"13.11.2015 05:45 - 13.11.2015 06:00","52566","53605"
"13.11.2015 06:00 - 13.11.2015 06:15","55358","56925"
"13.11.2015 06:15 - 13.11.2015 06:30","57850","59533"
"13.11.2015 06:30 - 13.11.2015 06:45","60331","61716"
"13.11.2015 06:45 - 13.11.2015 07:00","61852","63714"
"13.11.2015 07:00 - 13.11.2015 07:15","63764","65886"
"13.11.2015 07:15 - 13.11.2015 07:30","64157","66752"
"13.11.2015 07:30 - 13.11.2015 07:45","65679","67210"
"13.11.2015 07:45 - 13.11.2015 08:00","65738","67577"
"13.11.2015 08:00 - 13.11.2015 08:15","66923","68402"
"13.11.2015 08:15 - 13.11.2015 08:30","67046","62924"
"13.11.2015 08:30 - 13.11.2015 08:45","66908","63246"
"13.11.2015 08:45 - 13.11.2015 09:00","67357","68833"
"13.11.2015 09:00 - 13.11.2015 09:15","67207","68165"
"13.11.2015 09:15 - 13.11.2015 09:30","67537","64394"
"13.11.2015 09:30 - 13.11.2015 09:45","68016","69628"
"13.11.2015 09:45 - 13.11.2015 10:00","68054","70342"
"13.11.2015 10:00 - 13.11.2015 10:15","68933","70763"
"13.11.2015 10:15 - 13.11.2015 10:30","68707","71125"
"13.11.2015 10:30 - 13.11.2015 10:45","69486","71387"
"13.11.2015 10:45 - 13.11.2015 11:00","69557","71416"
"13.11.2015 11:00 - 13.11.2015 11:15","69634","71700"
"13.11.2015 11:15 - 13.11.2015 11:30","69886","71817"
"13.11.2015 11:30 - 13.11.2015 11:45","69893","71858"
"13.11.2015 11:45 - 13.11.2015 12:00","69866","72045"
"13.11.2015 12:00 - 13.11.2015 12:15","69218","71530"
"13.11.2015 12:15 - 13.11.2015 12:30","68832","71076"
"13.11.2015 12:30 - 13.11.2015 12:45","68681","70860"
"13.11.2015 12:45 - 13.11.2015 13:00","69095","70373"
"13.11.2015 13:00 - 13.11.2015 13:15","68760","70269"
"13.11.2015 13:15 - 13.11.2015 13:30","68243","69989"
"13.11.2015 13:30 - 13.11.2015 13:45","67940","69539"
"13.11.2015 13:45 - 13.11.2015 14:00","67056","68509"
"13.11.2015 14:00 - 13.11.2015 14:15","66469","68280"
"13.11.2015 14:15 - 13.11.2015 14:30","66524","67919"
"13.11.2015 14:30 - 13.11.2015 14:45","66311","67608"
"13.11.2015 14:45 - 13.11.2015 15:00","65811","67286"
"13.11.2015 15:00 - 13.11.2015 15:15","65575","67322"
"13.11.2015 15:15 - 13.11.2015 15:30","64932","66849"
"13.11.2015 15:30 - 13.11.2015 15:45","64780","66682"
"13.11.2015 15:45 - 13.11.2015 16:00","64096","66622"
"13.11.2015 16:00 - 13.11.2015 16:15","64723","66865"
"13.11.2015 16:15 - 13.11.2015 16:30","64368","67006"
"13.11.2015 16:30 - 13.11.2015 16:45","65217","67835"
"13.11.2015 16:45 - 13.11.2015 17:00","65857","69018"
"13.11.2015 17:00 - 13.11.2015 17:15","66895","70586"
"13.11.2015 17:15 - 13.11.2015 17:30","67194","71294"
"13.11.2015 17:30 - 13.11.2015 17:45","67955","71436"
"13.11.2015 17:45 - 13.11.2015 18:00","68439","71105"
"13.11.2015 18:00 - 13.11.2015 18:15","67454","70578"
"13.11.2015 18:15 - 13.11.2015 18:30","67437","70118"
"13.11.2015 18:30 - 13.11.2015 18:45","67578","69748"
"13.11.2015 18:45 - 13.11.2015 19:00","67157","69363"
"13.11.2015 19:00 - 13.11.2015 19:15","67170","68878"
"13.11.2015 19:15 - 13.11.2015 19:30","66452","67785"
"13.11.2015 19:30 - 13.11.2015 19:45","65460","66751"
"13.11.2015 19:45 - 13.11.2015 20:00","64870","65993"
"13.11.2015 20:00 - 13.11.2015 20:15","63815","64368"
"13.11.2015 20:15 - 13.11.2015 20:30","62326","63270"
"13.11.2015 20:30 - 13.11.2015 20:45","61127","62221"
"13.11.2015 20:45 - 13.11.2015 21:00","59947","61308"
"13.11.2015 21:00 - 13.11.2015 21:15","58833","60690"
"13.11.2015 21:15 - 13.11.2015 21:30","58616","59891"
"13.11.2015 21:30 - 13.11.2015 21:45","57969","58389"
"13.11.2015 21:45 - 13.11.2015 22:00","56911","57974"
"13.11.2015 22:00 - 13.11.2015 22:15","56260","57055"
"13.11.2015 22:15 - 13.11.2015 22:30","55550","56973"
"13.11.2015 22:30 - 13.11.2015 22:45","54562","55484"
"13.11.2015 22:45 - 13.11.2015 23:00","53356","54959"
"13.11.2015 23:00 - 13.11.2015 23:15","52290","53994"
