"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2015 01:30 - 04.01.2015 01:45","38851","38313"
"04.01.2015 01:45 - 04.01.2015 02:00","38227","38042"
"04.01.2015 02:00 - 04.01.2015 02:15","38020","37305"
"04.01.2015 02:15 - 04.01.2015 02:30","37795","37234"
"04.01.2015 02:30 - 04.01.2015 02:45","37696","36988"
"04.01.2015 02:45 - 04.01.2015 03:00","37582","36799"
"04.01.2015 03:00 - 04.01.2015 03:15","37944","36546"
"04.01.2015 03:15 - 04.01.2015 03:30","38188","36563"
"04.01.2015 03:30 - 04.01.2015 03:45","38006","36591"
"04.01.2015 03:45 - 04.01.2015 04:00","37745","36600"
"04.01.2015 04:00 - 04.01.2015 04:15","37899","36735"
"04.01.2015 04:15 - 04.01.2015 04:30","37888","36666"
"04.01.2015 04:30 - 04.01.2015 04:45","38076","36828"
"04.01.2015 04:45 - 04.01.2015 05:00","37988","36943"
"04.01.2015 05:00 - 04.01.2015 05:15","37841","36933"
"04.01.2015 05:15 - 04.01.2015 05:30","37606","36384"
"04.01.2015 05:30 - 04.01.2015 05:45","37277","36265"
"04.01.2015 05:45 - 04.01.2015 06:00","36699","35763"
"04.01.2015 06:00 - 04.01.2015 06:15","35956","34911"
"04.01.2015 06:15 - 04.01.2015 06:30","35573","34915"
"04.01.2015 06:30 - 04.01.2015 06:45","35467","36112"
"04.01.2015 06:45 - 04.01.2015 07:00","35355","36428"
"04.01.2015 07:00 - 04.01.2015 07:15","35593","36960"
"04.01.2015 07:15 - 04.01.2015 07:30","35984","37298"
"04.01.2015 07:30 - 04.01.2015 07:45","36693","39049"
"04.01.2015 07:45 - 04.01.2015 08:00","37663","39712"
"04.01.2015 08:00 - 04.01.2015 08:15","38394","40122"
"04.01.2015 08:15 - 04.01.2015 08:30","38993","40639"
"04.01.2015 08:30 - 04.01.2015 08:45","39926","41413"
"04.01.2015 08:45 - 04.01.2015 09:00","40746","41975"
"04.01.2015 09:00 - 04.01.2015 09:15","42249","42993"
"04.01.2015 09:15 - 04.01.2015 09:30","43083","43519"
"04.01.2015 09:30 - 04.01.2015 09:45","43634","44145"
"04.01.2015 09:45 - 04.01.2015 10:00","44259","44938"
"04.01.2015 10:00 - 04.01.2015 10:15","44826","45909"
"04.01.2015 10:15 - 04.01.2015 10:30","45264","46622"
"04.01.2015 10:30 - 04.01.2015 10:45","45790","47190"
"04.01.2015 10:45 - 04.01.2015 11:00","46210","47938"
"04.01.2015 11:00 - 04.01.2015 11:15","47041","48985"
"04.01.2015 11:15 - 04.01.2015 11:30","47778","50160"
"04.01.2015 11:30 - 04.01.2015 11:45","48268","50816"
"04.01.2015 11:45 - 04.01.2015 12:00","48470","51047"
"04.01.2015 12:00 - 04.01.2015 12:15","48666","51055"
"04.01.2015 12:15 - 04.01.2015 12:30","48501","51016"
"04.01.2015 12:30 - 04.01.2015 12:45","48165","50847"
"04.01.2015 12:45 - 04.01.2015 13:00","47761","50219"
"04.01.2015 13:00 - 04.01.2015 13:15","47179","49638"
"04.01.2015 13:15 - 04.01.2015 13:30","46895","48937"
"04.01.2015 13:30 - 04.01.2015 13:45","46429","48612"
"04.01.2015 13:45 - 04.01.2015 14:00","46099","48109"
"04.01.2015 14:00 - 04.01.2015 14:15","45814","47945"
"04.01.2015 14:15 - 04.01.2015 14:30","45231","47368"
"04.01.2015 14:30 - 04.01.2015 14:45","44920","47353"
"04.01.2015 14:45 - 04.01.2015 15:00","44847","47404"
"04.01.2015 15:00 - 04.01.2015 15:15","44866","47586"
"04.01.2015 15:15 - 04.01.2015 15:30","44876","47207"
"04.01.2015 15:30 - 04.01.2015 15:45","44742","47181"
"04.01.2015 15:45 - 04.01.2015 16:00","45029","47618"
"04.01.2015 16:00 - 04.01.2015 16:15","45123","48119"
"04.01.2015 16:15 - 04.01.2015 16:30","45571","48698"
"04.01.2015 16:30 - 04.01.2015 16:45","46273","49713"
"04.01.2015 16:45 - 04.01.2015 17:00","47358","51329"
"04.01.2015 17:00 - 04.01.2015 17:15","48677","52691"
"04.01.2015 17:15 - 04.01.2015 17:30","49828","53376"
"04.01.2015 17:30 - 04.01.2015 17:45","50282","53715"
"04.01.2015 17:45 - 04.01.2015 18:00","50517","53818"
"04.01.2015 18:00 - 04.01.2015 18:15","51257","54368"
"04.01.2015 18:15 - 04.01.2015 18:30","51567","54244"
"04.01.2015 18:30 - 04.01.2015 18:45","51569","53988"
"04.01.2015 18:45 - 04.01.2015 19:00","51378","53833"
"04.01.2015 19:00 - 04.01.2015 19:15","51366","53166"
"04.01.2015 19:15 - 04.01.2015 19:30","50782","52726"
"04.01.2015 19:30 - 04.01.2015 19:45","50349","52592"
"04.01.2015 19:45 - 04.01.2015 20:00","49527","51999"
"04.01.2015 20:00 - 04.01.2015 20:15","48844","51296"
"04.01.2015 20:15 - 04.01.2015 20:30","48107","50599"
"04.01.2015 20:30 - 04.01.2015 20:45","47430","49673"
"04.01.2015 20:45 - 04.01.2015 21:00","46837","49402"
"04.01.2015 21:00 - 04.01.2015 21:15","46863","49101"
"04.01.2015 21:15 - 04.01.2015 21:30","46601","48994"
"04.01.2015 21:30 - 04.01.2015 21:45","46663","48792"
"04.01.2015 21:45 - 04.01.2015 22:00","46859","48623"
"04.01.2015 22:00 - 04.01.2015 22:15","47373","49583"
"04.01.2015 22:15 - 04.01.2015 22:30","47417","49239"
"04.01.2015 22:30 - 04.01.2015 22:45","46808","48748"
"04.01.2015 22:45 - 04.01.2015 23:00","45944","47663"
"04.01.2015 23:00 - 04.01.2015 23:15","45303","47179"
"04.01.2015 23:15 - 04.01.2015 23:30","45041","46372"
"04.01.2015 23:30 - 04.01.2015 23:45","44575","45762"
"04.01.2015 23:45 - 05.01.2015 00:00","43720","44782"
"05.01.2015 00:00 - 05.01.2015 00:15","43815","43607"
"05.01.2015 00:15 - 05.01.2015 00:30","43337","42930"
"05.01.2015 00:30 - 05.01.2015 00:45","42981","42303"
"05.01.2015 00:45 - 05.01.2015 01:00","42571","41794"
"05.01.2015 01:00 - 05.01.2015 01:15","42131","41335"
"05.01.2015 01:15 - 05.01.2015 01:30","41683","40713"
"05.01.2015 01:30 - 05.01.2015 01:45","41289","40523"
"05.01.2015 01:45 - 05.01.2015 02:00","41288","40223"
"05.01.2015 02:00 - 05.01.2015 02:15","40636","39828"
"05.01.2015 02:15 - 05.01.2015 02:30","40446","39462"
"05.01.2015 02:30 - 05.01.2015 02:45","40330","39266"
"05.01.2015 02:45 - 05.01.2015 03:00","40275","39231"
"05.01.2015 03:00 - 05.01.2015 03:15","40383","39491"
"05.01.2015 03:15 - 05.01.2015 03:30","40329","39408"
"05.01.2015 03:30 - 05.01.2015 03:45","40418","39552"
"05.01.2015 03:45 - 05.01.2015 04:00","40487","39601"
"05.01.2015 04:00 - 05.01.2015 04:15","40823","39780"
"05.01.2015 04:15 - 05.01.2015 04:30","41103","40227"
"05.01.2015 04:30 - 05.01.2015 04:45","41508","40656"
"05.01.2015 04:45 - 05.01.2015 05:00","41959","41097"
"05.01.2015 05:00 - 05.01.2015 05:15","42408","42550"
"05.01.2015 05:15 - 05.01.2015 05:30","43243","43243"
"05.01.2015 05:30 - 05.01.2015 05:45","44072","44371"
"05.01.2015 05:45 - 05.01.2015 06:00","44858","45562"
"05.01.2015 06:00 - 05.01.2015 06:15","46786","47436"
"05.01.2015 06:15 - 05.01.2015 06:30","48574","49116"
"05.01.2015 06:30 - 05.01.2015 06:45","49866","50931"
"05.01.2015 06:45 - 05.01.2015 07:00","51056","52814"
"05.01.2015 07:00 - 05.01.2015 07:15","52646","54452"
"05.01.2015 07:15 - 05.01.2015 07:30","53760","55640"
"05.01.2015 07:30 - 05.01.2015 07:45","54438","56861"
"05.01.2015 07:45 - 05.01.2015 08:00","55044","58022"
"05.01.2015 08:00 - 05.01.2015 08:15","56024","59284"
"05.01.2015 08:15 - 05.01.2015 08:30","56169","59579"
"05.01.2015 08:30 - 05.01.2015 08:45","56388","60171"
"05.01.2015 08:45 - 05.01.2015 09:00","56764","60406"
"05.01.2015 09:00 - 05.01.2015 09:15","57106","60909"
"05.01.2015 09:15 - 05.01.2015 09:30","57449","61103"
"05.01.2015 09:30 - 05.01.2015 09:45","57940","61328"
"05.01.2015 09:45 - 05.01.2015 10:00","57729","61377"
"05.01.2015 10:00 - 05.01.2015 10:15","58561","61792"
"05.01.2015 10:15 - 05.01.2015 10:30","58725","61939"
"05.01.2015 10:30 - 05.01.2015 10:45","59392","62250"
"05.01.2015 10:45 - 05.01.2015 11:00","59132","62436"
"05.01.2015 11:00 - 05.01.2015 11:15","59572","62823"
"05.01.2015 11:15 - 05.01.2015 11:30","60154","63246"
